Site Name ,VAUL
Site Number ,5
Logger ,Integrating Light Sensor
Logger Serial Number ,11616


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,30/05/2020 , 20:15:00,2718,2718
2,30/05/2020 , 20:30:00,5147,5147
3,30/05/2020 , 20:45:00,5058,5058
4,30/05/2020 , 21:00:00,4391,4391
5,30/05/2020 , 21:15:00,3376,3376
6,30/05/2020 , 21:30:00,2822,2822
7,30/05/2020 , 21:45:00,2433,2433
8,30/05/2020 , 22:00:00,2231,2231
9,30/05/2020 , 22:15:00,1950,1950
10,30/05/2020 , 22:30:00,2073,2073
11,30/05/2020 , 22:45:00,1830,1830
12,30/05/2020 , 23:00:00,1325,1325
13,30/05/2020 , 23:15:00,1128,1128
14,30/05/2020 , 23:30:00,856,856
15,30/05/2020 , 23:45:00,622,622
16,30/05/2020 , 24:00:00,468,468
17,31/05/2020 , 00:15:00,306,306
18,31/05/2020 , 00:30:00,209,209
19,31/05/2020 , 00:45:00,162,162
20,31/05/2020 , 01:00:00,127,127
21,31/05/2020 , 01:15:00,107,107
22,31/05/2020 , 01:30:00,91,91
23,31/05/2020 , 01:45:00,71,71
24,31/05/2020 , 02:00:00,58,58
25,31/05/2020 , 02:15:00,59,59
26,31/05/2020 , 02:30:00,83,83
27,31/05/2020 , 02:45:00,124,124
28,31/05/2020 , 03:00:00,149,149
29,31/05/2020 , 03:15:00,178,178
30,31/05/2020 , 03:30:00,257,257
31,31/05/2020 , 03:45:00,357,357
32,31/05/2020 , 04:00:00,488,488
33,31/05/2020 , 04:15:00,655,655
34,31/05/2020 , 04:30:00,1018,1018
35,31/05/2020 , 04:45:00,1322,1322
36,31/05/2020 , 05:00:00,1805,1805
37,31/05/2020 , 05:15:00,2379,2379
38,31/05/2020 , 05:30:00,2651,2651
39,31/05/2020 , 05:45:00,3668,3668
40,31/05/2020 , 06:00:00,3188,3188
41,31/05/2020 , 06:15:00,3355,3355
42,31/05/2020 , 06:30:00,3979,3979
43,31/05/2020 , 06:45:00,5801,5801
44,31/05/2020 , 07:00:00,12457,12457
45,31/05/2020 , 07:15:00,8729,8729
46,31/05/2020 , 07:30:00,11483,11483
47,31/05/2020 , 07:45:00,15231,15231
48,31/05/2020 , 08:00:00,18308,18308
49,31/05/2020 , 08:15:00,14494,14494
50,31/05/2020 , 08:30:00,16186,16186
51,31/05/2020 , 08:45:00,19338,19338
52,31/05/2020 , 09:00:00,23939,23939
53,31/05/2020 , 09:15:00,22482,22482
54,31/05/2020 , 09:30:00,20978,20978
55,31/05/2020 , 09:45:00,21102,21102
56,31/05/2020 , 10:00:00,27310,27310
57,31/05/2020 , 10:15:00,37067,37067
58,31/05/2020 , 10:30:00,30201,30201
59,31/05/2020 , 10:45:00,31577,31577
60,31/05/2020 , 11:00:00,40453,40453
61,31/05/2020 , 11:15:00,37253,37253
62,31/05/2020 , 11:30:00,40791,40791
63,31/05/2020 , 11:45:00,46111,46111
64,31/05/2020 , 12:00:00,47678,47678
65,31/05/2020 , 12:15:00,46495,46495
66,31/05/2020 , 12:30:00,46928,46928
67,31/05/2020 , 12:45:00,47580,47580
68,31/05/2020 , 13:00:00,48069,48069
69,31/05/2020 , 13:15:00,48444,48444
70,31/05/2020 , 13:30:00,48840,48840
71,31/05/2020 , 13:45:00,46092,46092
72,31/05/2020 , 14:00:00,50000,50000
73,31/05/2020 , 14:15:00,50040,50040
74,31/05/2020 , 14:30:00,52357,52357
75,31/05/2020 , 14:45:00,28783,28783
76,31/05/2020 , 15:00:00,8011,8011
77,31/05/2020 , 15:15:00,4992,4992
78,31/05/2020 , 15:30:00,5905,5905
79,31/05/2020 , 15:45:00,9320,9320
80,31/05/2020 , 16:00:00,8436,8436
81,31/05/2020 , 16:15:00,26799,26799
82,31/05/2020 , 16:30:00,43008,43008
83,31/05/2020 , 16:45:00,16565,16565
84,31/05/2020 , 17:00:00,15045,15045
85,31/05/2020 , 17:15:00,15953,15953
86,31/05/2020 , 17:30:00,12239,12239
87,31/05/2020 , 17:45:00,4876,4876
88,31/05/2020 , 18:00:00,4248,4248
89,31/05/2020 , 18:15:00,3964,3964
90,31/05/2020 , 18:30:00,1563,1563
91,31/05/2020 , 18:45:00,867,867
92,31/05/2020 , 19:00:00,19,19
93,31/05/2020 , 19:15:00,0,0
