Site Name ,MOOS
Site Number ,4
Logger ,Integrating Light Sensor
Logger Serial Number ,11617


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,30/05/2020 , 20:15:00,2619,2619
2,30/05/2020 , 20:30:00,4619,4619
3,30/05/2020 , 20:45:00,4554,4554
4,30/05/2020 , 21:00:00,3989,3989
5,30/05/2020 , 21:15:00,3089,3089
6,30/05/2020 , 21:30:00,2592,2592
7,30/05/2020 , 21:45:00,2238,2238
8,30/05/2020 , 22:00:00,2055,2055
9,30/05/2020 , 22:15:00,1794,1794
10,30/05/2020 , 22:30:00,1890,1890
11,30/05/2020 , 22:45:00,1675,1675
12,30/05/2020 , 23:00:00,1214,1214
13,30/05/2020 , 23:15:00,1034,1034
14,30/05/2020 , 23:30:00,783,783
15,30/05/2020 , 23:45:00,571,571
16,30/05/2020 , 24:00:00,427,427
17,31/05/2020 , 00:15:00,280,280
18,31/05/2020 , 00:30:00,191,191
19,31/05/2020 , 00:45:00,147,147
20,31/05/2020 , 01:00:00,115,115
21,31/05/2020 , 01:15:00,95,95
22,31/05/2020 , 01:30:00,81,81
23,31/05/2020 , 01:45:00,64,64
24,31/05/2020 , 02:00:00,53,53
25,31/05/2020 , 02:15:00,53,53
26,31/05/2020 , 02:30:00,75,75
27,31/05/2020 , 02:45:00,111,111
28,31/05/2020 , 03:00:00,133,133
29,31/05/2020 , 03:15:00,161,161
30,31/05/2020 , 03:30:00,235,235
31,31/05/2020 , 03:45:00,329,329
32,31/05/2020 , 04:00:00,450,450
33,31/05/2020 , 04:15:00,605,605
34,31/05/2020 , 04:30:00,936,936
35,31/05/2020 , 04:45:00,1209,1209
36,31/05/2020 , 05:00:00,1640,1640
37,31/05/2020 , 05:15:00,2185,2185
38,31/05/2020 , 05:30:00,2448,2448
39,31/05/2020 , 05:45:00,3392,3392
40,31/05/2020 , 06:00:00,2938,2938
41,31/05/2020 , 06:15:00,3057,3057
42,31/05/2020 , 06:30:00,3605,3605
43,31/05/2020 , 06:45:00,5280,5280
44,31/05/2020 , 07:00:00,12091,12091
45,31/05/2020 , 07:15:00,8187,8187
46,31/05/2020 , 07:30:00,10545,10545
47,31/05/2020 , 07:45:00,13884,13884
48,31/05/2020 , 08:00:00,16590,16590
49,31/05/2020 , 08:15:00,13065,13065
50,31/05/2020 , 08:30:00,14514,14514
51,31/05/2020 , 08:45:00,17289,17289
52,31/05/2020 , 09:00:00,21364,21364
53,31/05/2020 , 09:15:00,20046,20046
54,31/05/2020 , 09:30:00,18608,18608
55,31/05/2020 , 09:45:00,18654,18654
56,31/05/2020 , 10:00:00,24137,24137
57,31/05/2020 , 10:15:00,32639,32639
58,31/05/2020 , 10:30:00,26661,26661
59,31/05/2020 , 10:45:00,27732,27732
60,31/05/2020 , 11:00:00,35394,35394
61,31/05/2020 , 11:15:00,32604,32604
62,31/05/2020 , 11:30:00,35630,35630
63,31/05/2020 , 11:45:00,40157,40157
64,31/05/2020 , 12:00:00,41301,41301
65,31/05/2020 , 12:15:00,40102,40102
66,31/05/2020 , 12:30:00,40403,40403
67,31/05/2020 , 12:45:00,40915,40915
68,31/05/2020 , 13:00:00,41275,41275
69,31/05/2020 , 13:15:00,41445,41445
70,31/05/2020 , 13:30:00,41728,41728
71,31/05/2020 , 13:45:00,39418,39418
72,31/05/2020 , 14:00:00,42775,42775
73,31/05/2020 , 14:15:00,42734,42734
74,31/05/2020 , 14:30:00,44871,44871
75,31/05/2020 , 14:45:00,24795,24795
76,31/05/2020 , 15:00:00,7147,7147
77,31/05/2020 , 15:15:00,4563,4563
78,31/05/2020 , 15:30:00,5369,5369
79,31/05/2020 , 15:45:00,8530,8530
80,31/05/2020 , 16:00:00,7859,7859
81,31/05/2020 , 16:15:00,24531,24531
82,31/05/2020 , 16:30:00,38915,38915
83,31/05/2020 , 16:45:00,15153,15153
84,31/05/2020 , 17:00:00,13588,13588
85,31/05/2020 , 17:15:00,14293,14293
86,31/05/2020 , 17:30:00,11092,11092
87,31/05/2020 , 17:45:00,4447,4447
88,31/05/2020 , 18:00:00,3789,3789
89,31/05/2020 , 18:15:00,3703,3703
90,31/05/2020 , 18:30:00,1672,1672
91,31/05/2020 , 18:45:00,838,838
92,31/05/2020 , 19:00:00,18,18
93,31/05/2020 , 19:15:00,0,0
