Site Name ,EXTRA
Site Number ,6
Logger ,Integrating Light Sensor
Logger Serial Number ,11618


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,30/05/2020 , 20:15:00,2988,2988
2,30/05/2020 , 20:30:00,5047,5047
3,30/05/2020 , 20:45:00,4964,4964
4,30/05/2020 , 21:00:00,4315,4315
5,30/05/2020 , 21:15:00,3325,3325
6,30/05/2020 , 21:30:00,2785,2785
7,30/05/2020 , 21:45:00,2404,2404
8,30/05/2020 , 22:00:00,2206,2206
9,30/05/2020 , 22:15:00,1931,1931
10,30/05/2020 , 22:30:00,2042,2042
11,30/05/2020 , 22:45:00,1802,1802
12,30/05/2020 , 23:00:00,1309,1309
13,30/05/2020 , 23:15:00,1113,1113
14,30/05/2020 , 23:30:00,844,844
15,30/05/2020 , 23:45:00,613,613
16,30/05/2020 , 24:00:00,460,460
17,31/05/2020 , 00:15:00,301,301
18,31/05/2020 , 00:30:00,207,207
19,31/05/2020 , 00:45:00,159,159
20,31/05/2020 , 01:00:00,125,125
21,31/05/2020 , 01:15:00,104,104
22,31/05/2020 , 01:30:00,89,89
23,31/05/2020 , 01:45:00,70,70
24,31/05/2020 , 02:00:00,57,57
25,31/05/2020 , 02:15:00,58,58
26,31/05/2020 , 02:30:00,81,81
27,31/05/2020 , 02:45:00,122,122
28,31/05/2020 , 03:00:00,144,144
29,31/05/2020 , 03:15:00,175,175
30,31/05/2020 , 03:30:00,252,252
31,31/05/2020 , 03:45:00,352,352
32,31/05/2020 , 04:00:00,480,480
33,31/05/2020 , 04:15:00,644,644
34,31/05/2020 , 04:30:00,1002,1002
35,31/05/2020 , 04:45:00,1297,1297
36,31/05/2020 , 05:00:00,1763,1763
37,31/05/2020 , 05:15:00,2325,2325
38,31/05/2020 , 05:30:00,2585,2585
39,31/05/2020 , 05:45:00,3589,3589
40,31/05/2020 , 06:00:00,3136,3136
41,31/05/2020 , 06:15:00,3304,3304
42,31/05/2020 , 06:30:00,3913,3913
43,31/05/2020 , 06:45:00,5682,5682
44,31/05/2020 , 07:00:00,11844,11844
45,31/05/2020 , 07:15:00,8480,8480
46,31/05/2020 , 07:30:00,11213,11213
47,31/05/2020 , 07:45:00,14811,14811
48,31/05/2020 , 08:00:00,17879,17879
49,31/05/2020 , 08:15:00,14260,14260
50,31/05/2020 , 08:30:00,15881,15881
51,31/05/2020 , 08:45:00,19023,19023
52,31/05/2020 , 09:00:00,23616,23616
53,31/05/2020 , 09:15:00,22207,22207
54,31/05/2020 , 09:30:00,20713,20713
55,31/05/2020 , 09:45:00,20830,20830
56,31/05/2020 , 10:00:00,27007,27007
57,31/05/2020 , 10:15:00,36654,36654
58,31/05/2020 , 10:30:00,29975,29975
59,31/05/2020 , 10:45:00,31235,31235
60,31/05/2020 , 11:00:00,40100,40100
61,31/05/2020 , 11:15:00,37016,37016
62,31/05/2020 , 11:30:00,40433,40433
63,31/05/2020 , 11:45:00,45618,45618
64,31/05/2020 , 12:00:00,47179,47179
65,31/05/2020 , 12:15:00,45996,45996
66,31/05/2020 , 12:30:00,46370,46370
67,31/05/2020 , 12:45:00,46914,46914
68,31/05/2020 , 13:00:00,47284,47284
69,31/05/2020 , 13:15:00,47487,47487
70,31/05/2020 , 13:30:00,47740,47740
71,31/05/2020 , 13:45:00,44965,44965
72,31/05/2020 , 14:00:00,48580,48580
73,31/05/2020 , 14:15:00,48465,48465
74,31/05/2020 , 14:30:00,50506,50506
75,31/05/2020 , 14:45:00,27879,27879
76,31/05/2020 , 15:00:00,7861,7861
77,31/05/2020 , 15:15:00,4897,4897
78,31/05/2020 , 15:30:00,5769,5769
79,31/05/2020 , 15:45:00,9182,9182
80,31/05/2020 , 16:00:00,8141,8141
81,31/05/2020 , 16:15:00,25933,25933
82,31/05/2020 , 16:30:00,40062,40062
83,31/05/2020 , 16:45:00,15499,15499
84,31/05/2020 , 17:00:00,13870,13870
85,31/05/2020 , 17:15:00,14675,14675
86,31/05/2020 , 17:30:00,11511,11511
87,31/05/2020 , 17:45:00,4699,4699
88,31/05/2020 , 18:00:00,4138,4138
89,31/05/2020 , 18:15:00,3902,3902
90,31/05/2020 , 18:30:00,1743,1743
91,31/05/2020 , 18:45:00,878,878
92,31/05/2020 , 19:00:00,17,17
93,31/05/2020 , 19:15:00,0,0
