Site Name ,POKE
Site Number ,2
Logger ,Integrating Light Sensor
Logger Serial Number ,11619


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,30/05/2020 , 20:15:00,4195,4195
2,30/05/2020 , 20:30:00,4723,4723
3,30/05/2020 , 20:45:00,4641,4641
4,30/05/2020 , 21:00:00,4037,4037
5,30/05/2020 , 21:15:00,3113,3113
6,30/05/2020 , 21:30:00,2606,2606
7,30/05/2020 , 21:45:00,2239,2239
8,30/05/2020 , 22:00:00,2045,2045
9,30/05/2020 , 22:15:00,1792,1792
10,30/05/2020 , 22:30:00,1894,1894
11,30/05/2020 , 22:45:00,1677,1677
12,30/05/2020 , 23:00:00,1213,1213
13,30/05/2020 , 23:15:00,1030,1030
14,30/05/2020 , 23:30:00,781,781
15,30/05/2020 , 23:45:00,568,568
16,30/05/2020 , 24:00:00,423,423
17,31/05/2020 , 00:15:00,276,276
18,31/05/2020 , 00:30:00,190,190
19,31/05/2020 , 00:45:00,144,144
20,31/05/2020 , 01:00:00,113,113
21,31/05/2020 , 01:15:00,94,94
22,31/05/2020 , 01:30:00,79,79
23,31/05/2020 , 01:45:00,62,62
24,31/05/2020 , 02:00:00,51,51
25,31/05/2020 , 02:15:00,52,52
26,31/05/2020 , 02:30:00,73,73
27,31/05/2020 , 02:45:00,110,110
28,31/05/2020 , 03:00:00,130,130
29,31/05/2020 , 03:15:00,159,159
30,31/05/2020 , 03:30:00,230,230
31,31/05/2020 , 03:45:00,322,322
32,31/05/2020 , 04:00:00,442,442
33,31/05/2020 , 04:15:00,591,591
34,31/05/2020 , 04:30:00,927,927
35,31/05/2020 , 04:45:00,1202,1202
36,31/05/2020 , 05:00:00,1632,1632
37,31/05/2020 , 05:15:00,2160,2160
38,31/05/2020 , 05:30:00,2386,2386
39,31/05/2020 , 05:45:00,3310,3310
40,31/05/2020 , 06:00:00,2908,2908
41,31/05/2020 , 06:15:00,3062,3062
42,31/05/2020 , 06:30:00,3615,3615
43,31/05/2020 , 06:45:00,5229,5229
44,31/05/2020 , 07:00:00,10298,10298
45,31/05/2020 , 07:15:00,7482,7482
46,31/05/2020 , 07:30:00,9943,9943
47,31/05/2020 , 07:45:00,13296,13296
48,31/05/2020 , 08:00:00,16013,16013
49,31/05/2020 , 08:15:00,12856,12856
50,31/05/2020 , 08:30:00,14322,14322
51,31/05/2020 , 08:45:00,17096,17096
52,31/05/2020 , 09:00:00,21195,21195
53,31/05/2020 , 09:15:00,19998,19998
54,31/05/2020 , 09:30:00,18683,18683
55,31/05/2020 , 09:45:00,18822,18822
56,31/05/2020 , 10:00:00,24414,24414
57,31/05/2020 , 10:15:00,33090,33090
58,31/05/2020 , 10:30:00,27085,27085
59,31/05/2020 , 10:45:00,28221,28221
60,31/05/2020 , 11:00:00,36142,36142
61,31/05/2020 , 11:15:00,33370,33370
62,31/05/2020 , 11:30:00,36551,36551
63,31/05/2020 , 11:45:00,41363,41363
64,31/05/2020 , 12:00:00,42746,42746
65,31/05/2020 , 12:15:00,41663,41663
66,31/05/2020 , 12:30:00,42079,42079
67,31/05/2020 , 12:45:00,42713,42713
68,31/05/2020 , 13:00:00,43220,43220
69,31/05/2020 , 13:15:00,43572,43572
70,31/05/2020 , 13:30:00,43988,43988
71,31/05/2020 , 13:45:00,41606,41606
72,31/05/2020 , 14:00:00,45197,45197
73,31/05/2020 , 14:15:00,45301,45301
74,31/05/2020 , 14:30:00,47506,47506
75,31/05/2020 , 14:45:00,26231,26231
76,31/05/2020 , 15:00:00,7389,7389
77,31/05/2020 , 15:15:00,4581,4581
78,31/05/2020 , 15:30:00,5383,5383
79,31/05/2020 , 15:45:00,8656,8656
80,31/05/2020 , 16:00:00,7703,7703
81,31/05/2020 , 16:15:00,24508,24508
82,31/05/2020 , 16:30:00,39150,39150
83,31/05/2020 , 16:45:00,14798,14798
84,31/05/2020 , 17:00:00,13213,13213
85,31/05/2020 , 17:15:00,13969,13969
86,31/05/2020 , 17:30:00,10750,10750
87,31/05/2020 , 17:45:00,4274,4274
88,31/05/2020 , 18:00:00,3718,3718
89,31/05/2020 , 18:15:00,3599,3599
90,31/05/2020 , 18:30:00,1658,1658
91,31/05/2020 , 18:45:00,875,875
92,31/05/2020 , 19:00:00,6,6
93,31/05/2020 , 19:15:00,0,0
