Site Name ,STRT
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,11620


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,30/05/2020 , 20:15:00,3859,3859
2,30/05/2020 , 20:30:00,4584,4584
3,30/05/2020 , 20:45:00,4501,4501
4,30/05/2020 , 21:00:00,3903,3903
5,30/05/2020 , 21:15:00,2988,2988
6,30/05/2020 , 21:30:00,2486,2486
7,30/05/2020 , 21:45:00,2127,2127
8,30/05/2020 , 22:00:00,1938,1938
9,30/05/2020 , 22:15:00,1692,1692
10,30/05/2020 , 22:30:00,1815,1815
11,30/05/2020 , 22:45:00,1609,1609
12,30/05/2020 , 23:00:00,1160,1160
13,30/05/2020 , 23:15:00,988,988
14,30/05/2020 , 23:30:00,753,753
15,30/05/2020 , 23:45:00,550,550
16,30/05/2020 , 24:00:00,417,417
17,31/05/2020 , 00:15:00,272,272
18,31/05/2020 , 00:30:00,187,187
19,31/05/2020 , 00:45:00,146,146
20,31/05/2020 , 01:00:00,116,116
21,31/05/2020 , 01:15:00,98,98
22,31/05/2020 , 01:30:00,85,85
23,31/05/2020 , 01:45:00,66,66
24,31/05/2020 , 02:00:00,53,53
25,31/05/2020 , 02:15:00,53,53
26,31/05/2020 , 02:30:00,76,76
27,31/05/2020 , 02:45:00,116,116
28,31/05/2020 , 03:00:00,136,136
29,31/05/2020 , 03:15:00,161,161
30,31/05/2020 , 03:30:00,231,231
31,31/05/2020 , 03:45:00,317,317
32,31/05/2020 , 04:00:00,431,431
33,31/05/2020 , 04:15:00,572,572
34,31/05/2020 , 04:30:00,904,904
35,31/05/2020 , 04:45:00,1173,1173
36,31/05/2020 , 05:00:00,1614,1614
37,31/05/2020 , 05:15:00,2123,2123
38,31/05/2020 , 05:30:00,2359,2359
39,31/05/2020 , 05:45:00,3263,3263
40,31/05/2020 , 06:00:00,2835,2835
41,31/05/2020 , 06:15:00,2972,2972
42,31/05/2020 , 06:30:00,3518,3518
43,31/05/2020 , 06:45:00,5133,5133
44,31/05/2020 , 07:00:00,11069,11069
45,31/05/2020 , 07:15:00,7714,7714
46,31/05/2020 , 07:30:00,10155,10155
47,31/05/2020 , 07:45:00,13460,13460
48,31/05/2020 , 08:00:00,16205,16205
49,31/05/2020 , 08:15:00,12853,12853
50,31/05/2020 , 08:30:00,14317,14317
51,31/05/2020 , 08:45:00,17120,17120
52,31/05/2020 , 09:00:00,21236,21236
53,31/05/2020 , 09:15:00,19950,19950
54,31/05/2020 , 09:30:00,18600,18600
55,31/05/2020 , 09:45:00,18702,18702
56,31/05/2020 , 10:00:00,24269,24269
57,31/05/2020 , 10:15:00,32949,32949
58,31/05/2020 , 10:30:00,26899,26899
59,31/05/2020 , 10:45:00,28004,28004
60,31/05/2020 , 11:00:00,35947,35947
61,31/05/2020 , 11:15:00,33142,33142
62,31/05/2020 , 11:30:00,36243,36243
63,31/05/2020 , 11:45:00,40989,40989
64,31/05/2020 , 12:00:00,42388,42388
65,31/05/2020 , 12:15:00,41347,41347
66,31/05/2020 , 12:30:00,41747,41747
67,31/05/2020 , 12:45:00,42293,42293
68,31/05/2020 , 13:00:00,42780,42780
69,31/05/2020 , 13:15:00,43136,43136
70,31/05/2020 , 13:30:00,43485,43485
71,31/05/2020 , 13:45:00,41006,41006
72,31/05/2020 , 14:00:00,44462,44462
73,31/05/2020 , 14:15:00,44463,44463
74,31/05/2020 , 14:30:00,46539,46539
75,31/05/2020 , 14:45:00,25711,25711
76,31/05/2020 , 15:00:00,7140,7140
77,31/05/2020 , 15:15:00,4432,4432
78,31/05/2020 , 15:30:00,5211,5211
79,31/05/2020 , 15:45:00,8446,8446
80,31/05/2020 , 16:00:00,7635,7635
81,31/05/2020 , 16:15:00,24293,24293
82,31/05/2020 , 16:30:00,38567,38567
83,31/05/2020 , 16:45:00,14583,14583
84,31/05/2020 , 17:00:00,12911,12911
85,31/05/2020 , 17:15:00,13641,13641
86,31/05/2020 , 17:30:00,10573,10573
87,31/05/2020 , 17:45:00,4244,4244
88,31/05/2020 , 18:00:00,3700,3700
89,31/05/2020 , 18:15:00,3562,3562
90,31/05/2020 , 18:30:00,1583,1583
91,31/05/2020 , 18:45:00,877,877
92,31/05/2020 , 19:00:00,7,7
93,31/05/2020 , 19:15:00,0,0
