Site Name ,STRT11620
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,11620


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,07/05/2019 , 12:15:00,547,547
2,07/05/2019 , 12:30:00,344,344
3,07/05/2019 , 12:45:00,238,238
4,07/05/2019 , 13:00:00,1803,1803
5,07/05/2019 , 13:15:00,2559,2559
6,07/05/2019 , 13:30:00,2662,2662
7,07/05/2019 , 13:45:00,1241,1241
8,07/05/2019 , 14:00:00,526,526
9,07/05/2019 , 14:15:00,547,547
10,07/05/2019 , 14:30:00,455,455
11,07/05/2019 , 14:45:00,318,318
12,07/05/2019 , 15:00:00,179,179
13,07/05/2019 , 15:15:00,98,98
14,07/05/2019 , 15:30:00,213,213
15,07/05/2019 , 15:45:00,381,381
16,07/05/2019 , 16:00:00,11792,11792
17,07/05/2019 , 16:15:00,13190,13190
18,07/05/2019 , 16:30:00,8435,8435
19,07/05/2019 , 16:45:00,17252,17252
20,07/05/2019 , 17:00:00,8293,8293
21,07/05/2019 , 17:15:00,21678,21678
22,07/05/2019 , 17:30:00,21067,21067
23,07/05/2019 , 17:45:00,12791,12791
24,07/05/2019 , 18:00:00,12267,12267
25,07/05/2019 , 18:15:00,10178,10178
26,07/05/2019 , 18:30:00,8149,8149
27,07/05/2019 , 18:45:00,7114,7114
28,07/05/2019 , 19:00:00,5785,5785
29,07/05/2019 , 19:15:00,5359,5359
30,07/05/2019 , 19:30:00,5102,5102
31,07/05/2019 , 19:45:00,3522,3522
32,07/05/2019 , 20:00:00,2711,2711
33,07/05/2019 , 20:15:00,2166,2166
34,07/05/2019 , 20:30:00,2357,2357
35,07/05/2019 , 20:45:00,2577,2577
36,07/05/2019 , 21:00:00,1955,1955
37,07/05/2019 , 21:15:00,1375,1375
38,07/05/2019 , 21:30:00,1081,1081
39,07/05/2019 , 21:45:00,766,766
40,07/05/2019 , 22:00:00,467,467
41,07/05/2019 , 22:15:00,215,215
42,07/05/2019 , 22:30:00,114,114
43,07/05/2019 , 22:45:00,54,54
44,07/05/2019 , 23:00:00,28,28
45,07/05/2019 , 23:15:00,12,12
46,07/05/2019 , 23:30:00,4,4
47,07/05/2019 , 23:45:00,1,1
48,07/05/2019 , 24:00:00,0,0
49,08/05/2019 , 00:15:00,0,0
50,08/05/2019 , 00:30:00,0,0
51,08/05/2019 , 00:45:00,0,0
52,08/05/2019 , 01:00:00,0,0
53,08/05/2019 , 01:15:00,0,0
54,08/05/2019 , 01:30:00,0,0
55,08/05/2019 , 01:45:00,0,0
56,08/05/2019 , 02:00:00,0,0
57,08/05/2019 , 02:15:00,0,0
58,08/05/2019 , 02:30:00,0,0
59,08/05/2019 , 02:45:00,0,0
60,08/05/2019 , 03:00:00,0,0
61,08/05/2019 , 03:15:00,0,0
62,08/05/2019 , 03:30:00,0,0
63,08/05/2019 , 03:45:00,0,0
64,08/05/2019 , 04:00:00,1,1
65,08/05/2019 , 04:15:00,5,5
66,08/05/2019 , 04:30:00,13,13
67,08/05/2019 , 04:45:00,23,23
68,08/05/2019 , 05:00:00,34,34
69,08/05/2019 , 05:15:00,58,58
70,08/05/2019 , 05:30:00,55,55
71,08/05/2019 , 05:45:00,106,106
72,08/05/2019 , 06:00:00,319,319
73,08/05/2019 , 06:15:00,436,436
74,08/05/2019 , 06:30:00,801,801
75,08/05/2019 , 06:45:00,937,937
76,08/05/2019 , 07:00:00,1169,1169
77,08/05/2019 , 07:15:00,1266,1266
78,08/05/2019 , 07:30:00,1559,1559
79,08/05/2019 , 07:45:00,1406,1406
80,08/05/2019 , 08:00:00,2432,2432
81,08/05/2019 , 08:15:00,2406,2406
82,08/05/2019 , 08:30:00,3592,3592
83,08/05/2019 , 08:45:00,3578,3578
84,08/05/2019 , 09:00:00,2951,2951
85,08/05/2019 , 09:15:00,4911,4911
86,08/05/2019 , 09:30:00,7412,7412
87,08/05/2019 , 09:45:00,7341,7341
88,08/05/2019 , 10:00:00,8555,8555
89,08/05/2019 , 10:15:00,14505,14505
90,08/05/2019 , 10:30:00,10488,10488
91,08/05/2019 , 10:45:00,6093,6093
92,08/05/2019 , 11:00:00,6056,6056
93,08/05/2019 , 11:15:00,7813,7813
94,08/05/2019 , 11:30:00,12462,12462
95,08/05/2019 , 11:45:00,14967,14967
96,08/05/2019 , 12:00:00,10430,10430
97,08/05/2019 , 12:15:00,13503,13503
98,08/05/2019 , 12:30:00,7994,7994
99,08/05/2019 , 12:45:00,9958,9958
100,08/05/2019 , 13:00:00,10325,10325
101,08/05/2019 , 13:15:00,11004,11004
102,08/05/2019 , 13:30:00,7280,7280
103,08/05/2019 , 13:45:00,10544,10544
104,08/05/2019 , 14:00:00,10186,10186
105,08/05/2019 , 14:15:00,9092,9092
106,08/05/2019 , 14:30:00,10020,10020
