"Plot Title: 20005934_STRT_ATMO"
"#","Date Time, GMT-08:00","Abs Pres, mbar (LGR S/N: 20005934, SEN S/N: 20005934, LBL: P)","Temp, °C (LGR S/N: 20005934, SEN S/N: 20005934, LBL: T)","Coupler Detached (LGR S/N: 20005934)","Coupler Attached (LGR S/N: 20005934)","Host Connected (LGR S/N: 20005934)","Stopped (LGR S/N: 20005934)","End Of File (LGR S/N: 20005934)"
1,10/16/20 03:00:00 PM,983.3,17.950,Logged,,,,
2,10/16/20 03:15:00 PM,986.7,20.138,,,,,
3,10/16/20 03:30:00 PM,987.5,21.282,,,,,
4,10/16/20 03:45:00 PM,988.0,21.855,,,,,
5,10/16/20 04:00:00 PM,988.0,22.238,,,,,
6,10/16/20 04:15:00 PM,987.8,22.429,,,,,
7,10/16/20 04:30:00 PM,987.7,22.525,,,,,
8,10/16/20 04:45:00 PM,987.3,22.621,,,,,
9,10/16/20 05:00:00 PM,987.2,22.717,,,,,
10,10/16/20 05:15:00 PM,987.1,22.717,,,,,
11,10/16/20 05:30:00 PM,986.7,22.717,,,,,
12,10/16/20 05:45:00 PM,986.7,22.812,,,,,
13,10/16/20 06:00:00 PM,986.5,22.812,,,,,
14,10/16/20 06:15:00 PM,986.3,22.812,,,,,
15,10/16/20 06:30:00 PM,986.1,22.812,,,,,
16,10/16/20 06:45:00 PM,986.0,22.812,,,,,
17,10/16/20 07:00:00 PM,986.0,22.812,,,,,
18,10/16/20 07:15:00 PM,985.8,22.812,,,,,
19,10/16/20 07:30:00 PM,985.8,22.812,,,,,
20,10/16/20 07:45:00 PM,985.7,22.908,,,,,
21,10/16/20 08:00:00 PM,985.6,22.908,,,,,
22,10/16/20 08:15:00 PM,985.5,22.908,,,,,
23,10/16/20 08:30:00 PM,985.5,22.908,,,,,
24,10/16/20 08:45:00 PM,985.2,22.908,,,,,
25,10/16/20 09:00:00 PM,985.2,22.908,,,,,
26,10/16/20 09:15:00 PM,985.2,22.908,,,,,
27,10/16/20 09:30:00 PM,985.2,22.908,,,,,
28,10/16/20 09:45:00 PM,984.9,22.908,,,,,
29,10/16/20 10:00:00 PM,984.8,22.908,,,,,
30,10/16/20 10:15:00 PM,984.9,22.908,,,,,
31,10/16/20 10:30:00 PM,984.8,22.908,,,,,
32,10/16/20 10:45:00 PM,984.7,22.908,,,,,
33,10/16/20 11:00:00 PM,984.7,22.908,,,,,
34,10/16/20 11:15:00 PM,984.8,22.908,,,,,
35,10/16/20 11:30:00 PM,984.7,22.908,,,,,
36,10/16/20 11:45:00 PM,984.6,22.908,,,,,
37,10/17/20 12:00:00 AM,984.6,22.908,,,,,
38,10/17/20 12:15:00 AM,984.5,22.908,,,,,
39,10/17/20 12:30:00 AM,984.5,22.908,,,,,
40,10/17/20 12:45:00 AM,984.5,22.908,,,,,
41,10/17/20 01:00:00 AM,984.4,23.004,,,,,
42,10/17/20 01:15:00 AM,984.3,23.004,,,,,
43,10/17/20 01:30:00 AM,984.4,23.004,,,,,
44,10/17/20 01:45:00 AM,984.3,23.004,,,,,
45,10/17/20 02:00:00 AM,984.4,23.004,,,,,
46,10/17/20 02:15:00 AM,984.3,23.004,,,,,
47,10/17/20 02:30:00 AM,984.2,23.004,,,,,
48,10/17/20 02:45:00 AM,984.2,23.004,,,,,
49,10/17/20 03:00:00 AM,984.2,23.004,,,,,
50,10/17/20 03:15:00 AM,984.2,23.004,,,,,
51,10/17/20 03:30:00 AM,984.1,23.004,,,,,
52,10/17/20 03:45:00 AM,984.0,23.004,,,,,
53,10/17/20 04:00:00 AM,984.0,23.004,,,,,
54,10/17/20 04:15:00 AM,984.1,23.004,,,,,
55,10/17/20 04:30:00 AM,984.0,23.004,,,,,
56,10/17/20 04:45:00 AM,984.0,23.004,,,,,
57,10/17/20 05:00:00 AM,983.8,23.004,,,,,
58,10/17/20 05:15:00 AM,983.8,23.004,,,,,
59,10/17/20 05:30:00 AM,984.0,23.100,,,,,
60,10/17/20 05:45:00 AM,983.8,23.100,,,,,
61,10/17/20 06:00:00 AM,983.9,23.100,,,,,
62,10/17/20 06:15:00 AM,983.8,23.100,,,,,
63,10/17/20 06:30:00 AM,983.9,23.100,,,,,
64,10/17/20 06:45:00 AM,983.8,23.100,,,,,
