"Plot Title: 20574421_VAUL_2"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 20574421_duplicate, SEN S/N: 20574421)","Temp, °C (LGR S/N: 20574421_duplicate, SEN S/N: 20574421)","Abs Pres Barom., kPa (LGR S/N: 20574425, SEN S/N: 20574425)","Water Level, meters (LGR S/N: null)"
1,05/10/21 05:00:00 PM,,,99.026,
2,05/10/21 05:15:00 PM,,,99.003,
3,05/10/21 05:30:00 PM,,,98.992,
4,05/10/21 05:45:00 PM,,,98.985,
5,05/10/21 06:00:00 PM,,,98.992,
6,05/10/21 06:15:00 PM,,,98.994,
7,05/10/21 06:30:00 PM,,,98.988,
8,05/10/21 06:45:00 PM,,,98.995,
9,05/10/21 07:00:00 PM,,,99.005,
10,05/10/21 07:15:00 PM,,,99.015,
11,05/10/21 07:30:00 PM,,,98.992,
12,05/10/21 07:45:00 PM,,,98.994,
13,05/10/21 08:00:00 PM,,,98.993,
14,05/10/21 08:15:00 PM,,,98.994,
15,05/10/21 08:30:00 PM,,,98.981,
16,05/10/21 08:45:00 PM,,,98.981,
17,05/10/21 09:00:00 PM,,,98.978,
18,05/10/21 09:15:00 PM,,,99.012,
19,05/10/21 09:30:00 PM,,,99.021,
20,05/10/21 09:45:00 PM,,,99.036,
21,05/10/21 10:00:00 PM,,,99.048,
22,05/10/21 10:15:00 PM,,,99.059,
23,05/10/21 10:30:00 PM,,,99.079,
24,05/10/21 10:45:00 PM,,,99.065,
25,05/10/21 11:00:00 PM,,,99.091,
26,05/10/21 11:15:00 PM,,,99.103,
27,05/10/21 11:30:00 PM,,,99.102,
28,05/10/21 11:45:00 PM,,,99.110,
29,05/11/21 12:00:00 AM,,,99.116,
30,05/11/21 12:15:00 AM,,,99.123,
31,05/11/21 12:30:00 AM,,,99.108,
32,05/11/21 12:45:00 AM,,,99.114,
33,05/11/21 01:00:00 AM,,,99.122,
34,05/11/21 01:15:00 AM,,,99.126,
35,05/11/21 01:30:00 AM,,,99.125,
36,05/11/21 01:45:00 AM,,,99.110,
37,05/11/21 02:00:00 AM,,,99.117,
38,05/11/21 02:15:00 AM,,,99.113,
39,05/11/21 02:30:00 AM,,,99.100,
40,05/11/21 02:45:00 AM,,,99.108,
41,05/11/21 03:00:00 AM,,,99.082,
42,05/11/21 03:15:00 AM,,,99.090,
43,05/11/21 03:30:00 AM,,,99.088,
44,05/11/21 03:45:00 AM,,,99.085,
45,05/11/21 04:00:00 AM,,,99.083,
46,05/11/21 04:15:00 AM,,,99.091,
47,05/11/21 04:30:00 AM,,,99.077,
48,05/11/21 04:45:00 AM,,,99.099,
49,05/11/21 05:00:00 AM,,,99.091,
50,05/11/21 05:15:00 AM,,,99.093,
51,05/11/21 05:30:00 AM,,,99.096,
52,05/11/21 05:45:00 AM,,,99.120,
53,05/11/21 06:00:00 AM,,,99.080,
54,05/11/21 06:15:00 AM,,,99.087,
55,05/11/21 06:30:00 AM,,,99.063,
56,05/11/21 06:45:00 AM,,,99.073,
57,05/11/21 07:00:00 AM,,,99.061,
58,05/11/21 07:15:00 AM,,,99.026,
59,05/11/21 07:30:00 AM,,,99.035,
60,05/11/21 07:45:00 AM,,,98.950,
61,05/11/21 08:00:00 AM,,,98.911,
62,05/11/21 08:15:00 AM,,,98.947,
63,05/11/21 08:30:00 AM,,,98.963,
64,05/11/21 08:45:00 AM,,,98.950,
65,05/11/21 09:00:00 AM,,,98.941,
66,05/11/21 09:15:00 AM,,,98.930,
67,05/11/21 09:30:00 AM,,,98.919,
68,05/11/21 09:45:00 AM,,,98.910,
69,05/11/21 10:00:00 AM,,,98.873,
70,05/11/21 10:15:00 AM,,,98.860,
71,05/11/21 10:30:00 AM,,,98.832,
72,05/11/21 10:45:00 AM,,,98.754,
