7450-991574
OS REV: 1.05 Sensor Cal: 1629218772
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1652397840,+3.47,+24.325, +7.908,+0.992
1652397900,+3.47,+24.627, +7.889,+0.993
1652397960,+3.47,+24.846, +7.871,+0.993
1652398020,+3.47,+24.946, +7.858,+0.992
1652398080,+3.47,+25.030, +7.861,+0.993
1652398140,+3.47,+25.022, +7.857,+0.992
1652398200,+3.47,+25.022, +7.877,+0.993
1652398260,+3.48,+25.527, +8.589,+1.004
1652398320,+3.47,+28.984, +7.333,+1.000
1652398380,+3.47,+30.708, +7.063,+0.999
1652398440,+3.47,+31.822, +6.893,+0.998
1652398500,+3.47,+32.514, +6.754,+0.996
1652398560,+3.47,+32.945, +6.674,+0.996
1652398620,+3.47,+33.253, +6.600,+0.995
1652398680,+3.47,+33.448, +6.567,+0.994
1652398740,+3.47,+33.572, +6.548,+0.994
1652398800,+3.47,+33.651, +6.523,+0.993
1652398860,+3.47,+33.722, +6.520,+0.994
1652398920,+3.47,+33.731, +6.501,+0.992
1652398980,+3.47,+33.749, +6.503,+0.993
1652399040,+3.47,+33.757, +6.497,+0.993
1652399100,+3.47,+33.740, +6.498,+0.993
1652399160,+3.47,+33.722, +6.496,+0.992
1652399220,+3.47,+33.704, +6.503,+0.993
1652399280,+3.47,+33.678, +6.503,+0.992
1652399340,+3.47,+33.660, +6.504,+0.993
1652399400,+3.47,+33.616, +6.504,+0.992
1652399460,+3.47,+33.554, +6.505,+0.992
1652399520,+3.47,+33.510, +6.504,+0.992
1652399580,+3.47,+33.465, +6.512,+0.992
1652399640,+3.48,+33.395, +6.515,+0.992
1652399700,+3.48,+33.333, +6.537,+0.993
1652399760,+3.48,+33.289, +6.534,+0.993
1652399820,+3.48,+33.236, +6.537,+0.993
1652399880,+3.48,+33.174, +6.546,+0.993
1652399940,+3.48,+33.112, +6.552,+0.993
1652400000,+3.47,+33.050, +6.556,+0.992
1652400060,+3.47,+32.980, +6.563,+0.992
1652400120,+3.47,+32.918, +6.575,+0.993
1652400180,+3.47,+32.866, +6.577,+0.993
1652400240,+3.48,+32.795, +6.588,+0.993
1652400300,+3.48,+32.725, +6.596,+0.993
1652400360,+3.48,+32.654, +6.604,+0.993
1652400420,+3.48,+32.602, +6.607,+0.993
1652400480,+3.48,+32.531, +6.626,+0.994
1652400540,+3.48,+32.470, +6.629,+0.993
1652400600,+3.48,+32.417, +6.625,+0.993
1652400660,+3.48,+32.347, +6.641,+0.993
1652400720,+3.48,+32.286, +6.651,+0.994
1652400780,+3.48,+32.216, +6.657,+0.993
1652400840,+3.48,+32.154, +6.669,+0.994
1652400900,+3.48,+32.084, +6.675,+0.994
1652400960,+3.49,+32.049, +6.676,+0.994
1652401020,+3.48,+31.962, +6.691,+0.994
1652401080,+3.48,+31.901, +6.696,+0.994
1652401140,+3.48,+31.831, +6.708,+0.994
1652401200,+3.48,+31.778, +6.717,+0.994
1652401260,+3.48,+31.708, +6.734,+0.995
1652401320,+3.48,+31.639, +6.738,+0.994
1652401380,+3.48,+31.595, +6.741,+0.994
1652401440,+3.48,+31.534, +6.751,+0.995
1652401500,+3.48,+31.464, +6.763,+0.995
1652401560,+3.48,+31.421, +6.768,+0.995
1652401620,+3.49,+31.334, +6.791,+0.996
1652401680,+3.49,+31.273, +6.783,+0.995
1652401740,+3.49,+31.238, +6.788,+0.995
1652401800,+3.49,+31.168, +6.801,+0.995
1652401860,+3.49,+31.116, +6.804,+0.995
1652401920,+3.49,+31.055, +6.818,+0.995
1652401980,+3.49,+31.003, +6.826,+0.996
1652402040,+3.49,+30.942, +6.835,+0.996
