Site Name ,AZ2
Site Number ,123
Logger ,Integrating Light Sensor
Logger Serial Number ,7922


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,19/05/2022 , 14:45:00,45325,45325
2,19/05/2022 , 15:00:00,43417,43417
3,19/05/2022 , 15:15:00,44277,44277
4,19/05/2022 , 15:30:00,43768,43768
5,19/05/2022 , 15:45:00,44210,44210
6,19/05/2022 , 16:00:00,41715,41715
7,19/05/2022 , 16:15:00,39935,39935
8,19/05/2022 , 16:30:00,39130,39130
9,19/05/2022 , 16:45:00,38111,38111
10,19/05/2022 , 17:00:00,30432,30432
11,19/05/2022 , 17:15:00,38991,38991
12,19/05/2022 , 17:30:00,22675,22675
13,19/05/2022 , 17:45:00,28355,28355
14,19/05/2022 , 18:00:00,33629,33629
15,19/05/2022 , 18:15:00,29324,29324
16,19/05/2022 , 18:30:00,26800,26800
17,19/05/2022 , 18:45:00,24876,24876
18,19/05/2022 , 19:00:00,22965,22965
19,19/05/2022 , 19:15:00,21116,21116
20,19/05/2022 , 19:30:00,19356,19356
21,19/05/2022 , 19:45:00,17943,17943
22,19/05/2022 , 20:00:00,16858,16858
23,19/05/2022 , 20:15:00,15239,15239
24,19/05/2022 , 20:30:00,13566,13566
25,19/05/2022 , 20:45:00,11698,11698
26,19/05/2022 , 21:00:00,9710,9710
27,19/05/2022 , 21:15:00,7900,7900
28,19/05/2022 , 21:30:00,6260,6260
29,19/05/2022 , 21:45:00,4867,4867
30,19/05/2022 , 22:00:00,3135,3135
31,19/05/2022 , 22:15:00,1951,1951
32,19/05/2022 , 22:30:00,1579,1579
33,19/05/2022 , 22:45:00,1213,1213
34,19/05/2022 , 23:00:00,874,874
35,19/05/2022 , 23:15:00,570,570
36,19/05/2022 , 23:30:00,342,342
37,19/05/2022 , 23:45:00,198,198
38,19/05/2022 , 24:00:00,111,111
39,20/05/2022 , 00:15:00,62,62
40,20/05/2022 , 00:30:00,34,34
41,20/05/2022 , 00:45:00,19,19
42,20/05/2022 , 01:00:00,12,12
43,20/05/2022 , 01:15:00,8,8
44,20/05/2022 , 01:30:00,7,7
45,20/05/2022 , 01:45:00,5,5
46,20/05/2022 , 02:00:00,6,6
47,20/05/2022 , 02:15:00,6,6
48,20/05/2022 , 02:30:00,7,7
49,20/05/2022 , 02:45:00,11,11
50,20/05/2022 , 03:00:00,17,17
51,20/05/2022 , 03:15:00,30,30
52,20/05/2022 , 03:30:00,52,52
53,20/05/2022 , 03:45:00,97,97
54,20/05/2022 , 04:00:00,177,177
55,20/05/2022 , 04:15:00,309,309
56,20/05/2022 , 04:30:00,512,512
57,20/05/2022 , 04:45:00,784,784
58,20/05/2022 , 05:00:00,1122,1122
59,20/05/2022 , 05:15:00,1502,1502
60,20/05/2022 , 05:30:00,1908,1908
61,20/05/2022 , 05:45:00,2828,2828
62,20/05/2022 , 06:00:00,2662,2662
63,20/05/2022 , 06:15:00,3002,3002
64,20/05/2022 , 06:30:00,3331,3331
65,20/05/2022 , 06:45:00,3942,3942
66,20/05/2022 , 07:00:00,11190,11190
67,20/05/2022 , 07:15:00,12996,12996
68,20/05/2022 , 07:30:00,14714,14714
69,20/05/2022 , 07:45:00,16408,16408
70,20/05/2022 , 08:00:00,18152,18152
71,20/05/2022 , 08:15:00,19869,19869
72,20/05/2022 , 08:30:00,21504,21504
73,20/05/2022 , 08:45:00,23206,23206
74,20/05/2022 , 09:00:00,24826,24826
75,20/05/2022 , 09:15:00,26454,26454
76,20/05/2022 , 09:30:00,27973,27973
77,20/05/2022 , 09:45:00,29453,29453
78,20/05/2022 , 10:00:00,30947,30947
79,20/05/2022 , 10:15:00,32306,32306
80,20/05/2022 , 10:30:00,33616,33616
81,20/05/2022 , 10:45:00,34814,34814
82,20/05/2022 , 11:00:00,35987,35987
83,20/05/2022 , 11:15:00,37076,37076
84,20/05/2022 , 11:30:00,38071,38071
85,20/05/2022 , 11:45:00,38968,38968
86,20/05/2022 , 12:00:00,39867,39867
87,20/05/2022 , 12:15:00,40518,40518
88,20/05/2022 , 12:30:00,41389,41389
89,20/05/2022 , 12:45:00,41957,41957
90,20/05/2022 , 13:00:00,42475,42475
91,20/05/2022 , 13:15:00,42784,42784
92,20/05/2022 , 13:30:00,42973,42973
93,20/05/2022 , 13:45:00,43043,43043
94,20/05/2022 , 14:00:00,43180,43180
95,20/05/2022 , 14:15:00,43197,43197
96,20/05/2022 , 14:30:00,42961,42961
97,20/05/2022 , 14:45:00,42658,42658
98,20/05/2022 , 15:00:00,42077,42077
99,20/05/2022 , 15:15:00,41719,41719
100,20/05/2022 , 15:30:00,41127,41127
101,20/05/2022 , 15:45:00,40450,40450
102,20/05/2022 , 16:00:00,39673,39673
103,20/05/2022 , 16:15:00,38822,38822
104,20/05/2022 , 16:30:00,37793,37793
