"TOA5","GOF","CR1000X","8551","CR1000X.Std.04.02","CPU:Trial3Par.CR1X","31014","Table1"
"TIMESTAMP","RECORD","PTemp_C_Avg","PAR_Den_Avg","PAR_Tot_Tot"
"TS","RN","Deg C","umol/s/m^2","mmol/m^2"
"","","Avg","Avg","Tot"
"2022-05-19 14:45:00",0,25.19,3496,34.96332
"2022-05-19 15:00:00",1,25.04,5264,4737.191
"2022-05-19 15:15:00",2,24.98,5268,4741.001
"2022-05-19 15:30:00",3,24.93,5440,4895.762
"2022-05-19 15:45:00",4,24.95,5630,5066.842
"2022-05-19 16:00:00",5,25,5621,5058.736
"2022-05-19 16:15:00",6,24.77,5510,4959.121
"2022-05-19 16:30:00",7,24.66,5484,4936.015
"2022-05-19 16:45:00",8,24.77,5333,4799.728
"2022-05-19 17:00:00",9,24.63,5298,4768.436
"2022-05-19 17:15:00",10,24.27,5257,4730.947
"2022-05-19 17:30:00",11,24.42,5185,4666.92
"2022-05-19 17:45:00",12,23.58,4858,4371.892
"2022-05-19 18:00:00",13,23.15,4819,4336.966
"2022-05-19 18:15:00",14,23.35,4996,4496.538
"2022-05-19 18:30:00",15,23.32,4856,4370.7
"2022-05-19 18:45:00",16,22.88,4663,4197.005
"2022-05-19 19:00:00",17,22.34,4408,3966.956
"2022-05-19 19:15:00",18,21.81,4285,3856.542
"2022-05-19 19:30:00",19,21.19,4135,3721.311
"2022-05-19 19:45:00",20,20.6,3978,3580.61
"2022-05-19 20:00:00",21,20.08,3908,3517.328
"2022-05-19 20:15:00",22,19.5,3791,3411.808
"2022-05-19 20:30:00",23,18.92,3633,3269.263
"2022-05-19 20:45:00",24,18.35,3427,3084.011
"2022-05-19 21:00:00",25,17.72,3300,2970.136
"2022-05-19 21:15:00",26,17,3202,2881.511
"2022-05-19 21:30:00",27,16.33,3065,2758.497
"2022-05-19 21:45:00",28,15.58,2894,2604.427
"2022-05-19 22:00:00",29,14.8,2671,2403.48
"2022-05-19 22:15:00",30,13.89,2504,2253.749
"2022-05-19 22:30:00",31,12.91,2255,2029.894
"2022-05-19 22:45:00",32,11.93,1979,1780.804
"2022-05-19 23:00:00",33,11.06,1897,1707.36
"2022-05-19 23:15:00",34,10.44,1829,1646.339
"2022-05-19 23:30:00",35,10.03,1868,1681.488
"2022-05-19 23:45:00",36,9.68,1848,1662.784
"2022-05-20 00:00:00",37,9.47,1839,1654.929
"2022-05-20 00:15:00",38,9.14,1898,1708.594
"2022-05-20 00:30:00",39,8.56,1820,1638.228
"2022-05-20 00:45:00",40,7.714,1660,1494.011
"2022-05-20 01:00:00",41,6.826,1508,1357.195
"2022-05-20 01:15:00",42,6.254,1587,1428.602
"2022-05-20 01:30:00",43,6.062,1782,1604.125
"2022-05-20 01:45:00",44,6.114,1967,1770.458
"2022-05-20 02:00:00",45,6.108,2229,2006.375
"2022-05-20 02:15:00",46,5.973,2388,2148.846
"2022-05-20 02:30:00",47,5.602,2245,2020.699
"2022-05-20 02:45:00",48,4.986,2097,1886.883
"2022-05-20 03:00:00",49,4.471,2008,1807.037
"2022-05-20 03:15:00",50,4.132,2117,1905.519
"2022-05-20 03:30:00",51,3.88,2243,2018.532
"2022-05-20 03:45:00",52,3.624,2282,2053.809
"2022-05-20 04:00:00",53,3.394,2476,2228.375
"2022-05-20 04:15:00",54,3.206,2514,2263.019
"2022-05-20 04:30:00",55,3.025,2563,2306.275
"2022-05-20 04:45:00",56,2.916,2652,2386.744
"2022-05-20 05:00:00",57,2.838,2694,2424.76
"2022-05-20 05:15:00",58,2.807,2976,2678.263
"2022-05-20 05:30:00",59,2.735,3082,2774.175
"2022-05-20 05:45:00",60,2.775,3401,3060.98
"2022-05-20 06:00:00",61,3.035,3589,3230.319
"2022-05-20 06:15:00",62,3.129,3757,3381.521
"2022-05-20 06:30:00",63,3.173,3893,3504.146
"2022-05-20 06:45:00",64,3.291,4023,3620.663
"2022-05-20 07:00:00",65,3.65,4411,3970.241
"2022-05-20 07:15:00",66,4.477,4592,4133.137
"2022-05-20 07:30:00",67,5.368,4669,4201.963
"2022-05-20 07:45:00",68,6.328,4812,4330.561
"2022-05-20 08:00:00",69,7.353,5125,4612.496
"2022-05-20 08:15:00",70,8.5,5462,4916.114
"2022-05-20 08:30:00",71,9.76,5656,5090.736
"2022-05-20 08:45:00",72,11.04,5888,5299.252
"2022-05-20 09:00:00",73,12.33,5947,5352.165
"2022-05-20 09:15:00",74,13.55,6219,5596.838
"2022-05-20 09:30:00",75,14.65,6545,5890.623
"2022-05-20 09:45:00",76,15.66,6821,6138.46
"2022-05-20 10:00:00",77,16.67,7134,6420.926
"2022-05-20 10:15:00",78,17.65,7519,6767.458
"2022-05-20 10:30:00",79,18.48,7858,7072.44
"2022-05-20 10:45:00",80,19.35,7999,7485.217
"2022-05-20 11:00:00",81,20.14,7999,7776.301
"2022-05-20 11:15:00",82,20.84,7999,8170.71
"2022-05-20 11:30:00",83,21.56,7999,8541.312
"2022-05-20 11:45:00",84,22.32,7999,8775.898
"2022-05-20 12:00:00",85,22.89,7999,9105.229
"2022-05-20 12:15:00",86,23.44,7999,9670.963
"2022-05-20 12:30:00",87,24.32,7999,9814.607
"2022-05-20 12:45:00",88,25,7999,9672.087
"2022-05-20 13:00:00",89,25.48,7999,9575.352
"2022-05-20 13:15:00",90,25.87,7999,9436.553
"2022-05-20 13:30:00",91,26.11,7999,9270.781
"2022-05-20 13:45:00",92,26.16,7999,9188.812
"2022-05-20 14:00:00",93,26.31,7999,9098.127
"2022-05-20 14:15:00",94,26.36,7999,9001.309
"2022-05-20 14:30:00",95,26.36,7999,8758.885
"2022-05-20 14:45:00",96,26.42,7999,8704.103
"2022-05-20 15:00:00",97,26.53,7999,8594.442
"2022-05-20 15:15:00",98,26.54,7999,8519.343
"2022-05-20 15:30:00",99,26.63,7999,8456.491
"2022-05-20 15:45:00",100,26.69,7999,8388.514
"2022-05-20 16:00:00",101,26.71,7999,8224.378
"2022-05-20 16:15:00",102,26.75,7999,7912.869
"2022-05-20 16:30:00",103,26.66,7999,7661.232
"2022-05-20 16:45:00",104,26.54,7999,7530.063
"2022-05-20 17:00:00",105,26.41,7999,7327.98
"2022-05-20 17:15:00",106,26.25,7938,7144.358
"2022-05-20 17:30:00",107,26.05,7655,6889.38
"2022-05-20 17:45:00",108,25.86,7377,6639.374
"2022-05-20 18:00:00",109,25.66,7199,6479.405
"2022-05-20 18:15:00",110,25.4,7055,6349.583
"2022-05-20 18:30:00",111,25.1,6834,6150.314
"2022-05-20 18:45:00",112,24.73,6667,6000.01
"2022-05-20 19:00:00",113,24.35,6353,5717.686
"2022-05-20 19:15:00",114,23.94,6079,5471.069
"2022-05-20 19:30:00",115,23.5,5922,5330.246
"2022-05-20 19:45:00",116,23.05,5633,5070.104
"2022-05-20 20:00:00",117,22.59,5427,4884.616
"2022-05-20 20:15:00",118,22.07,5203,4682.937
"2022-05-20 20:30:00",119,21.51,5001,4500.745
"2022-05-20 20:45:00",120,20.93,4729,4255.673
"2022-05-20 21:00:00",121,20.3,4454,4008.769
"2022-05-20 21:15:00",122,19.55,4192,3773.14
"2022-05-20 21:30:00",123,18.66,4005,3604.147
"2022-05-20 21:45:00",124,17.8,3745,3370.765
"2022-05-20 22:00:00",125,16.81,3455,3109.522
"2022-05-20 22:15:00",126,15.65,3112,2801.222
"2022-05-20 22:30:00",127,14.5,2777,2499.31
"2022-05-20 22:45:00",128,13.43,2450,2205.294
"2022-05-20 23:00:00",129,12.59,2383,2144.867
"2022-05-20 23:15:00",130,12.11,2408,2167.252
"2022-05-20 23:30:00",131,11.89,2571,2314.271
"2022-05-20 23:45:00",132,11.8,2727,2454.252
"2022-05-21 00:00:00",133,11.63,2663,2396.695
"2022-05-21 00:15:00",134,11.37,2906,2615.563
"2022-05-21 00:30:00",135,11,3033,2729.833
"2022-05-21 00:45:00",136,10.68,3350,3014.562
"2022-05-21 01:00:00",137,10.39,3697,3327.096
"2022-05-21 01:15:00",138,10.16,4049,3644.483
"2022-05-21 01:30:00",139,9.94,4499,4049.254
"2022-05-21 01:45:00",140,9.64,4715,4243.206
"2022-05-21 02:00:00",141,9.33,4844,4359.954
"2022-05-21 02:15:00",142,9.09,4682,4214.059
"2022-05-21 02:30:00",143,8.75,4373,3936.041
"2022-05-21 02:45:00",144,8.29,4201,3780.804
"2022-05-21 03:00:00",145,7.712,3764,3387.62
"2022-05-21 03:15:00",146,7.228,3615,3253.508
"2022-05-21 03:30:00",147,6.887,3655,3289.616
"2022-05-21 03:45:00",148,6.441,3469,3122.174
