7450-149332
OS REV: 1.05 Sensor Cal: 1629387177
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1652910840,+3.48,+19.899, +0.044,+0.919
1652910900,+3.49,+19.916, +0.043,+0.919
1652910960,+3.49,+19.916, +0.044,+0.919
1652911020,+3.48,+19.899, +0.044,+0.919
1652911080,+3.48,+19.925, +0.044,+0.919
1652911140,+3.48,+19.908, +0.044,+0.919
1652911200,+3.48,+19.925, +0.044,+0.919
1652911260,+3.48,+19.933, +0.044,+0.919
1652911320,+3.48,+19.908, +0.044,+0.919
1652911380,+3.49,+19.941, +0.044,+0.919
1652911440,+3.48,+19.941, +0.044,+0.919
1652911500,+3.48,+19.925, +0.044,+0.919
1652911560,+3.48,+19.941, +0.044,+0.919
1652911620,+3.48,+19.941, +0.043,+0.919
1652911680,+3.49,+19.941, +0.044,+0.919
1652911740,+3.48,+19.941, +0.044,+0.919
1652911800,+3.48,+19.975, +0.044,+0.919
1652911860,+3.48,+19.933, +0.044,+0.919
1652911920,+3.48,+19.933, +0.045,+0.919
1652911980,+3.49,+19.983, +0.044,+0.919
1652912040,+3.49,+19.966, +0.044,+0.919
1652912100,+3.49,+19.983, +0.044,+0.919
1652912160,+3.49,+19.992, +0.044,+0.919
1652912220,+3.48,+19.992, +0.043,+0.919
1652912280,+3.49,+19.975, +0.044,+0.919
1652912340,+3.48,+19.983, +0.044,+0.919
1652912400,+3.49,+19.975, +0.045,+0.919
1652912460,+3.49,+20.000, +0.044,+0.919
1652912520,+3.49,+20.008, +0.044,+0.919
1652912580,+3.49,+19.992, +0.044,+0.919
1652912640,+3.49,+20.000, +0.045,+0.919
1652912700,+3.49,+20.008, +0.044,+0.919
1652912760,+3.49,+20.025, +0.044,+0.919
1652912820,+3.49,+20.025, +0.044,+0.919
1652912880,+3.49,+20.017, +0.044,+0.919
1652912940,+3.49,+20.050, +0.044,+0.919
1652913000,+3.49,+20.025, +0.044,+0.919
1652913060,+3.49,+20.050, +0.044,+0.919
1652913120,+3.49,+20.042, +0.043,+0.919
1652913180,+3.49,+20.017, +0.044,+0.919
1652913240,+3.49,+20.042, +0.043,+0.919
1652913300,+3.49,+20.042, +0.044,+0.919
1652913360,+3.49,+20.050, +0.044,+0.919
1652913420,+3.49,+20.059, +0.044,+0.919
