7450-184024
OS REV: 1.05 Sensor Cal: 1629386966
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1652910060,+3.49,+19.844, +0.060,+0.937
1652910120,+3.49,+19.852, +0.060,+0.937
1652910180,+3.48,+19.852, +0.060,+0.937
1652910240,+3.48,+19.835, +0.060,+0.937
1652910300,+3.48,+19.861, +0.060,+0.937
1652910360,+3.49,+19.877, +0.060,+0.937
1652910420,+3.49,+19.877, +0.060,+0.937
1652910480,+3.49,+19.886, +0.060,+0.937
1652910540,+3.48,+19.877, +0.060,+0.937
1652910600,+3.49,+19.886, +0.060,+0.937
1652910660,+3.49,+19.894, +0.060,+0.937
1652910720,+3.48,+19.894, +0.061,+0.937
1652910780,+3.48,+19.902, +0.061,+0.937
1652910840,+3.49,+19.902, +0.060,+0.937
1652910900,+3.48,+19.902, +0.060,+0.937
1652910960,+3.49,+19.894, +0.060,+0.937
1652911020,+3.48,+19.902, +0.060,+0.937
1652911080,+3.49,+19.902, +0.060,+0.937
1652911140,+3.49,+19.911, +0.060,+0.937
1652911200,+3.49,+19.894, +0.060,+0.937
1652911260,+3.48,+19.919, +0.060,+0.937
1652911320,+3.48,+19.928, +0.060,+0.937
1652911380,+3.49,+19.928, +0.060,+0.937
1652911440,+3.49,+19.944, +0.060,+0.937
1652911500,+3.49,+19.953, +0.060,+0.937
1652911560,+3.48,+19.944, +0.060,+0.937
1652911620,+3.49,+19.953, +0.060,+0.937
1652911680,+3.49,+19.944, +0.060,+0.937
1652911740,+3.49,+19.944, +0.060,+0.937
1652911800,+3.48,+19.944, +0.061,+0.937
1652911860,+3.49,+19.953, +0.060,+0.937
1652911920,+3.48,+19.953, +0.060,+0.937
1652911980,+3.49,+19.969, +0.061,+0.937
1652912040,+3.49,+19.961, +0.060,+0.937
1652912100,+3.48,+19.961, +0.060,+0.937
1652912160,+3.49,+19.961, +0.060,+0.937
1652912220,+3.49,+19.986, +0.060,+0.937
1652912280,+3.49,+19.969, +0.060,+0.937
1652912340,+3.49,+19.969, +0.060,+0.937
1652912400,+3.49,+19.986, +0.060,+0.937
1652912460,+3.49,+20.003, +0.060,+0.937
1652912520,+3.49,+20.003, +0.060,+0.937
1652912580,+3.49,+19.995, +0.060,+0.937
1652912640,+3.49,+20.011, +0.061,+0.937
1652912700,+3.49,+19.986, +0.061,+0.937
1652912760,+3.49,+20.003, +0.060,+0.937
1652912820,+3.49,+20.003, +0.060,+0.937
1652912880,+3.49,+20.020, +0.060,+0.937
1652912940,+3.49,+20.020, +0.060,+0.937
1652913000,+3.49,+20.020, +0.060,+0.937
1652913060,+3.49,+20.028, +0.060,+0.937
1652913120,+3.49,+20.020, +0.060,+0.937
1652913180,+3.49,+20.045, +0.061,+0.937
1652913240,+3.49,+20.020, +0.060,+0.937
1652913300,+3.49,+20.036, +0.060,+0.937
1652913360,+3.49,+20.036, +0.060,+0.937
1652913420,+3.49,+20.053, +0.060,+0.937
1652913480,+3.49,+20.036, +0.060,+0.937
1652913540,+3.49,+20.062, +0.060,+0.937
1652913600,+3.49,+20.062, +0.061,+0.937
1652913660,+3.49,+20.062, +0.060,+0.937
1652913720,+3.49,+20.095, +0.060,+0.937
1652913780,+3.49,+20.087, +0.060,+0.937
1652913840,+3.49,+20.087, +0.060,+0.937
1652913900,+3.49,+20.087, +0.060,+0.937
1652913960,+3.49,+20.087, +0.060,+0.937
1652914020,+3.49,+20.087, +0.060,+0.937
1652914080,+3.49,+20.095, +0.060,+0.937
1652914140,+3.49,+20.103, +0.060,+0.937
1652914200,+3.49,+20.112, +0.060,+0.937
1652914260,+3.49,+20.112, +0.059,+0.937
1652914320,+3.49,+20.112, +0.059,+0.937
1652914380,+3.49,+20.129, +0.060,+0.937
1652914440,+3.49,+20.120, +0.060,+0.937
1652914500,+3.49,+20.129, +0.060,+0.937
1652914560,+3.49,+20.129, +0.060,+0.937
1652914620,+3.49,+20.137, +0.060,+0.937
1652914680,+3.49,+20.129, +0.060,+0.937
1652914740,+3.49,+20.154, +0.060,+0.937
1652914800,+3.49,+20.145, +0.060,+0.937
1652914860,+3.49,+20.154, +0.060,+0.937
1652914920,+3.49,+20.154, +0.060,+0.937
1652914980,+3.49,+20.162, +0.060,+0.937
1652915040,+3.49,+20.137, +0.060,+0.937
1652915100,+3.49,+20.154, +0.060,+0.937
1652915160,+3.49,+20.154, +0.060,+0.937
1652915220,+3.49,+20.170, +0.060,+0.937
1652915280,+3.49,+20.179, +0.060,+0.937
1652915340,+3.49,+20.196, +0.060,+0.937
1652915400,+3.49,+20.179, +0.060,+0.937
1652915460,+3.49,+20.187, +0.060,+0.937
1652915520,+3.49,+20.187, +0.060,+0.937
1652915580,+3.49,+20.221, +0.060,+0.937
1652915640,+3.49,+20.196, +0.060,+0.937
1652915700,+3.49,+20.204, +0.060,+0.937
1652915760,+3.49,+20.212, +0.060,+0.937
1652915820,+3.49,+20.229, +0.060,+0.937
1652915880,+3.49,+20.221, +0.060,+0.937
1652915940,+3.49,+20.221, +0.059,+0.937
1652916000,+3.49,+20.221, +0.060,+0.937
1652916060,+3.49,+20.246, +0.060,+0.937
1652916120,+3.49,+20.237, +0.059,+0.937
1652916180,+3.49,+20.229, +0.061,+0.937
1652916240,+3.49,+20.254, +0.060,+0.937
1652916300,+3.49,+20.246, +0.060,+0.937
1652916360,+3.49,+20.271, +0.059,+0.937
1652916420,+3.49,+20.254, +0.060,+0.937
1652916480,+3.49,+20.271, +0.059,+0.937
1652916540,+3.49,+20.262, +0.060,+0.937
1652916600,+3.49,+20.279, +0.059,+0.937
1652916660,+3.49,+20.279, +0.060,+0.937
1652916720,+3.49,+20.271, +0.060,+0.937
1652916780,+3.49,+20.296, +0.060,+0.937
1652916840,+3.49,+20.304, +0.060,+0.937
1652916900,+3.49,+20.288, +0.060,+0.937
1652916960,+3.49,+20.288, +0.060,+0.937
1652917020,+3.49,+20.304, +0.060,+0.937
1652917080,+3.49,+20.321, +0.060,+0.937
1652917140,+3.49,+20.329, +0.059,+0.937
1652917200,+3.49,+20.329, +0.060,+0.937
1652917260,+3.49,+20.329, +0.059,+0.937
1652917320,+3.49,+20.338, +0.060,+0.937
1652917380,+3.49,+20.355, +0.059,+0.937
1652917440,+3.49,+20.329, +0.060,+0.937
1652917500,+3.49,+20.363, +0.060,+0.937
1652917560,+3.49,+20.346, +0.060,+0.937
1652917620,+3.49,+20.355, +0.060,+0.937
1652917680,+3.49,+20.371, +0.059,+0.937
1652917740,+3.49,+20.371, +0.060,+0.937
1652917800,+3.49,+20.363, +0.060,+0.937
1652917860,+3.49,+20.380, +0.060,+0.937
1652917920,+3.49,+20.371, +0.060,+0.937
1652917980,+3.49,+20.380, +0.060,+0.937
1652918040,+3.49,+20.388, +0.060,+0.937
1652918100,+3.49,+20.413, +0.059,+0.937
1652918160,+3.49,+20.405, +0.059,+0.937
1652918220,+3.49,+20.405, +0.060,+0.937
1652918280,+3.49,+20.413, +0.060,+0.937
1652918340,+3.49,+20.413, +0.060,+0.937
1652918400,+3.49,+20.405, +0.060,+0.937
1652918460,+3.49,+20.413, +0.059,+0.937
1652918520,+3.49,+20.421, +0.059,+0.937
1652918580,+3.49,+20.438, +0.059,+0.937
1652918640,+3.49,+20.455, +0.060,+0.937
1652918700,+3.49,+20.438, +0.060,+0.937
1652918760,+3.49,+20.463, +0.060,+0.937
1652918820,+3.49,+20.480, +0.059,+0.937
1652918880,+3.49,+20.463, +0.060,+0.937
1652918940,+3.49,+20.472, +0.059,+0.937
1652919000,+3.49,+20.463, +0.060,+0.937
1652919060,+3.49,+20.488, +0.059,+0.937
1652919120,+3.49,+20.497, +0.060,+0.937
1652919180,+3.49,+20.497, +0.059,+0.937
1652919240,+3.49,+20.497, +0.060,+0.937
1652919300,+3.49,+20.497, +0.060,+0.937
1652919360,+3.49,+20.497, +0.059,+0.937
1652919420,+3.49,+20.514, +0.060,+0.937
1652919480,+3.49,+20.505, +0.060,+0.937
1652919540,+3.49,+20.530, +0.059,+0.937
1652919600,+3.49,+20.530, +0.059,+0.937
1652919660,+3.49,+20.547, +0.059,+0.937
1652919720,+3.49,+20.555, +0.059,+0.937
1652919780,+3.49,+20.555, +0.060,+0.937
1652919840,+3.49,+20.564, +0.060,+0.937
1652919900,+3.49,+20.564, +0.059,+0.937
1652919960,+3.49,+20.572, +0.059,+0.937
1652920020,+3.49,+20.589, +0.059,+0.937
1652920080,+3.49,+20.589, +0.060,+0.937
1652920140,+3.49,+20.614, +0.059,+0.937
1652920200,+3.49,+20.589, +0.059,+0.937
