Site Name ,VAUL
Site Number ,5
Logger ,Integrating Light Sensor
Logger Serial Number ,11616


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,10/05/2021 , 17:15:00,9111,9111
2,10/05/2021 , 17:30:00,12383,12383
3,10/05/2021 , 17:45:00,11178,11178
4,10/05/2021 , 18:00:00,7813,7813
5,10/05/2021 , 18:15:00,5442,5442
6,10/05/2021 , 18:30:00,3195,3195
7,10/05/2021 , 18:45:00,3164,3164
8,10/05/2021 , 19:00:00,4085,4085
9,10/05/2021 , 19:15:00,3796,3796
10,10/05/2021 , 19:30:00,3179,3179
11,10/05/2021 , 19:45:00,2943,2943
12,10/05/2021 , 20:00:00,3057,3057
13,10/05/2021 , 20:15:00,3003,3003
14,10/05/2021 , 20:30:00,3639,3639
15,10/05/2021 , 20:45:00,2798,2798
16,10/05/2021 , 21:00:00,2071,2071
17,10/05/2021 , 21:15:00,1837,1837
18,10/05/2021 , 21:30:00,1521,1521
19,10/05/2021 , 21:45:00,1310,1310
20,10/05/2021 , 22:00:00,944,944
21,10/05/2021 , 22:15:00,616,616
22,10/05/2021 , 22:30:00,471,471
23,10/05/2021 , 22:45:00,315,315
24,10/05/2021 , 23:00:00,214,214
25,10/05/2021 , 23:15:00,117,117
26,10/05/2021 , 23:30:00,52,52
27,10/05/2021 , 23:45:00,19,19
28,10/05/2021 , 24:00:00,8,8
29,11/05/2021 , 00:15:00,3,3
30,11/05/2021 , 00:30:00,1,1
31,11/05/2021 , 00:45:00,0,0
32,11/05/2021 , 01:00:00,0,0
33,11/05/2021 , 01:15:00,0,0
34,11/05/2021 , 01:30:00,0,0
35,11/05/2021 , 01:45:00,0,0
36,11/05/2021 , 02:00:00,0,0
37,11/05/2021 , 02:15:00,0,0
38,11/05/2021 , 02:30:00,0,0
39,11/05/2021 , 02:45:00,0,0
40,11/05/2021 , 03:00:00,0,0
41,11/05/2021 , 03:15:00,0,0
42,11/05/2021 , 03:30:00,2,2
43,11/05/2021 , 03:45:00,5,5
44,11/05/2021 , 04:00:00,14,14
45,11/05/2021 , 04:15:00,33,33
46,11/05/2021 , 04:30:00,85,85
47,11/05/2021 , 04:45:00,161,161
48,11/05/2021 , 05:00:00,283,283
49,11/05/2021 , 05:15:00,444,444
50,11/05/2021 , 05:30:00,591,591
51,11/05/2021 , 05:45:00,717,717
52,11/05/2021 , 06:00:00,861,861
53,11/05/2021 , 06:15:00,1053,1053
54,11/05/2021 , 06:30:00,1405,1405
55,11/05/2021 , 06:45:00,1777,1777
56,11/05/2021 , 07:00:00,2246,2246
57,11/05/2021 , 07:15:00,2648,2648
58,11/05/2021 , 07:30:00,3581,3581
59,11/05/2021 , 07:45:00,4416,4416
60,11/05/2021 , 08:00:00,4890,4890
61,11/05/2021 , 08:15:00,6093,6093
62,11/05/2021 , 08:30:00,4942,4942
63,11/05/2021 , 08:45:00,5395,5395
64,11/05/2021 , 09:00:00,5517,5517
65,11/05/2021 , 09:15:00,5664,5664
66,11/05/2021 , 09:30:00,6043,6043
67,11/05/2021 , 09:45:00,6332,6332
68,11/05/2021 , 10:00:00,6238,6238
69,11/05/2021 , 10:15:00,6376,6376
70,11/05/2021 , 10:30:00,7434,7434
71,11/05/2021 , 10:45:00,11808,11808
72,11/05/2021 , 11:00:00,21406,21406
73,11/05/2021 , 11:15:00,30964,30964
74,11/05/2021 , 11:30:00,36411,36411
75,11/05/2021 , 11:45:00,33204,33204
76,11/05/2021 , 12:00:00,33488,33488
77,11/05/2021 , 12:15:00,34887,34887
78,11/05/2021 , 12:30:00,29310,29310
79,11/05/2021 , 12:45:00,26991,26991
80,11/05/2021 , 13:00:00,37679,37679
81,11/05/2021 , 13:15:00,43159,43159
82,11/05/2021 , 13:30:00,30134,30134
83,11/05/2021 , 13:45:00,38121,38121
84,11/05/2021 , 14:00:00,17533,17533
85,11/05/2021 , 14:15:00,19228,19228
86,11/05/2021 , 14:30:00,30928,30928
87,11/05/2021 , 14:45:00,17741,17741
88,11/05/2021 , 15:00:00,10388,10388
89,11/05/2021 , 15:15:00,12125,12125
90,11/05/2021 , 15:30:00,14254,14254
91,11/05/2021 , 15:45:00,12005,12005
92,11/05/2021 , 16:00:00,16127,16127
93,11/05/2021 , 16:15:00,14728,14728
94,11/05/2021 , 16:30:00,11592,11592
95,11/05/2021 , 16:45:00,10058,10058
96,11/05/2021 , 17:00:00,10008,10008
97,11/05/2021 , 17:15:00,9678,9678
98,11/05/2021 , 17:30:00,8382,8382
99,11/05/2021 , 17:45:00,8040,8040
100,11/05/2021 , 18:00:00,7789,7789
101,11/05/2021 , 18:15:00,6295,6295
102,11/05/2021 , 18:30:00,4628,4628
103,11/05/2021 , 18:45:00,3885,3885
104,11/05/2021 , 19:00:00,3543,3543
105,11/05/2021 , 19:15:00,4303,4303
