"Time..sec.","BV..Volts.","T..deg.C.","DO..mg.l.","Q..."
1652910300,3.48,19.886,0.098,0.889
1652910360,3.48,19.894,0.097,0.889
1652910420,3.48,19.877,0.097,0.889
1652910480,3.48,19.886,0.098,0.889
1652910540,3.48,19.894,0.098,0.889
1652910600,3.48,19.886,0.098,0.889
1652910660,3.48,19.902,0.098,0.889
1652910720,3.48,19.919,0.097,0.889
1652910780,3.48,19.911,0.098,0.889
1652910840,3.48,19.936,0.097,0.889
1652910900,3.48,19.919,0.097,0.889
1652910960,3.48,19.919,0.098,0.889
1652911020,3.48,19.928,0.097,0.889
1652911080,3.48,19.936,0.097,0.889
1652911140,3.48,19.936,0.098,0.889
1652911200,3.48,19.961,0.097,0.889
1652911260,3.48,19.944,0.098,0.889
1652911320,3.48,19.936,0.098,0.889
1652911380,3.48,19.936,0.098,0.889
1652911440,3.48,19.944,0.098,0.889
1652911500,3.48,19.953,0.097,0.889
1652911560,3.48,19.961,0.097,0.889
1652911620,3.48,19.961,0.097,0.889
1652911680,3.48,19.961,0.098,0.889
1652911740,3.48,19.969,0.097,0.889
1652911800,3.48,19.969,0.097,0.889
1652911860,3.48,19.969,0.098,0.889
1652911920,3.48,19.978,0.098,0.889
1652911980,3.48,19.969,0.098,0.889
1652912040,3.48,19.969,0.098,0.889
1652912100,3.48,19.995,0.097,0.889
1652912160,3.48,19.978,0.097,0.889
1652912220,3.48,20.003,0.097,0.889
1652912280,3.48,20.003,0.097,0.889
1652912340,3.48,19.986,0.097,0.889
1652912400,3.48,19.995,0.098,0.889
1652912460,3.48,20.02,0.097,0.889
1652912520,3.48,20.011,0.097,0.889
1652912580,3.48,20.02,0.098,0.889
1652912640,3.48,20.036,0.097,0.889
1652912700,3.48,20.045,0.097,0.889
1652912760,3.48,20.011,0.097,0.889
1652912820,3.48,20.045,0.097,0.889
1652912880,3.48,20.036,0.098,0.889
1652912940,3.48,20.036,0.097,0.889
1652913000,3.48,20.045,0.097,0.889
1652913060,3.48,20.045,0.097,0.889
1652913120,3.48,20.062,0.097,0.889
1652913180,3.48,20.053,0.097,0.889
1652913240,3.48,20.062,0.097,0.889
1652913300,3.48,20.062,0.097,0.889
1652913360,3.49,20.07,0.097,0.889
1652913420,3.48,20.087,0.097,0.889
1652913480,3.49,20.087,0.097,0.889
1652913540,3.49,20.062,0.098,0.889
1652913600,3.49,20.095,0.098,0.889
1652913660,3.49,20.095,0.097,0.889
1652913720,3.49,20.103,0.098,0.889
1652913780,3.49,20.095,0.096,0.889
1652913840,3.49,20.103,0.097,0.889
1652913900,3.48,20.095,0.097,0.889
1652913960,3.49,20.112,0.097,0.889
1652914020,3.49,20.112,0.097,0.889
1652914080,3.49,20.129,0.097,0.889
1652914140,3.49,20.112,0.097,0.889
1652914200,3.49,20.129,0.097,0.889
1652914260,3.49,20.137,0.098,0.889
1652914320,3.49,20.129,0.097,0.889
1652914380,3.49,20.137,0.097,0.889
1652914440,3.49,20.145,0.097,0.889
1652914500,3.49,20.154,0.097,0.889
1652914560,3.49,20.154,0.097,0.889
1652914620,3.49,20.162,0.096,0.889
1652914680,3.49,20.154,0.097,0.889
1652914740,3.49,20.17,0.097,0.889
1652914800,3.49,20.17,0.097,0.889
1652914860,3.49,20.162,0.097,0.889
1652914920,3.49,20.17,0.097,0.889
1652914980,3.49,20.179,0.097,0.889
1652915040,3.49,20.187,0.097,0.889
1652915100,3.49,20.196,0.097,0.889
1652915160,3.49,20.196,0.097,0.889
1652915220,3.49,20.179,0.097,0.889
1652915280,3.49,20.204,0.097,0.889
1652915340,3.49,20.196,0.096,0.889
1652915400,3.49,20.212,0.097,0.889
1652915460,3.49,20.221,0.097,0.889
1652915520,3.49,20.221,0.096,0.889
1652915580,3.49,20.229,0.096,0.889
1652915640,3.49,20.229,0.097,0.889
1652915700,3.49,20.221,0.097,0.889
1652915760,3.49,20.212,0.096,0.889
1652915820,3.48,20.246,0.097,0.889
1652915880,3.48,20.246,0.096,0.889
1652915940,3.49,20.246,0.096,0.889
1652916000,3.49,20.246,0.096,0.889
1652916060,3.48,20.263,0.096,0.889
1652916120,3.49,20.279,0.097,0.889
1652916180,3.48,20.271,0.096,0.889
1652916240,3.49,20.254,0.096,0.889
1652916300,3.48,20.271,0.096,0.889
1652916360,3.48,20.279,0.096,0.889
1652916420,3.49,20.296,0.097,0.889
1652916480,3.49,20.296,0.097,0.889
1652916540,3.49,20.296,0.096,0.889
1652916600,3.49,20.313,0.097,0.889
1652916660,3.48,20.304,0.097,0.889
1652916720,3.48,20.313,0.096,0.889
1652916780,3.48,20.313,0.097,0.889
1652916840,3.48,20.313,0.096,0.889
1652916900,3.48,20.321,0.097,0.889
1652916960,3.48,20.321,0.097,0.889
1652917020,3.49,20.321,0.096,0.889
1652917080,3.48,20.338,0.097,0.889
1652917140,3.48,20.355,0.096,0.889
1652917200,3.48,20.338,0.096,0.889
1652917260,3.49,20.363,0.096,0.889
