data2,data1,loggerUid,logDateTime,dateTime
9.63,271,C1D8AFCAC00D,1653033600,20-05-2022 00:00:00
8.56,150,C1D8AFCAC00D,1653034500,20-05-2022 00:15:00
7,82,C1D8AFCAC00D,1653035400,20-05-2022 00:30:00
6.19,48,C1D8AFCAC00D,1653036300,20-05-2022 00:45:00
6.25,30,C1D8AFCAC00D,1653037200,20-05-2022 01:00:00
6.38,22,C1D8AFCAC00D,1653038100,20-05-2022 01:15:00
6.88,17,C1D8AFCAC00D,1653039000,20-05-2022 01:30:00
6.56,14,C1D8AFCAC00D,1653039900,20-05-2022 01:45:00
6,15,C1D8AFCAC00D,1653040800,20-05-2022 02:00:00
5.38,16,C1D8AFCAC00D,1653041700,20-05-2022 02:15:00
4.38,20,C1D8AFCAC00D,1653042600,20-05-2022 02:30:00
4.13,27,C1D8AFCAC00D,1653043500,20-05-2022 02:45:00
4,43,C1D8AFCAC00D,1653044400,20-05-2022 03:00:00
3.81,72,C1D8AFCAC00D,1653045300,20-05-2022 03:15:00
3.38,128,C1D8AFCAC00D,1653046200,20-05-2022 03:30:00
3.25,235,C1D8AFCAC00D,1653047100,20-05-2022 03:45:00
3.38,432,C1D8AFCAC00D,1653048000,20-05-2022 04:00:00
3,754,C1D8AFCAC00D,1653048900,20-05-2022 04:15:00
3.19,1250,C1D8AFCAC00D,1653049800,20-05-2022 04:30:00
3.19,1925,C1D8AFCAC00D,1653050700,20-05-2022 04:45:00
3.38,2761,C1D8AFCAC00D,1653051600,20-05-2022 05:00:00
3.06,3702,C1D8AFCAC00D,1653052500,20-05-2022 05:15:00
3.44,4704,C1D8AFCAC00D,1653053400,20-05-2022 05:30:00
6.31,7644,C1D8AFCAC00D,1653054300,20-05-2022 05:45:00
4.19,6735,C1D8AFCAC00D,1653055200,20-05-2022 06:00:00
4.25,7496,C1D8AFCAC00D,1653056100,20-05-2022 06:15:00
4.88,8340,C1D8AFCAC00D,1653057000,20-05-2022 06:30:00
5.81,9232,C1D8AFCAC00D,1653057900,20-05-2022 06:45:00
12.88,24955,C1D8AFCAC00D,1653058800,20-05-2022 07:00:00
16.69,30135,C1D8AFCAC00D,1653059700,20-05-2022 07:15:00
18,34816,C1D8AFCAC00D,1653060600,20-05-2022 07:30:00
18,39517,C1D8AFCAC00D,1653061500,20-05-2022 07:45:00
18.69,44451,C1D8AFCAC00D,1653062400,20-05-2022 08:00:00
19.06,49472,C1D8AFCAC00D,1653063300,20-05-2022 08:15:00
19.5,54369,C1D8AFCAC00D,1653064200,20-05-2022 08:30:00
20.75,59427,C1D8AFCAC00D,1653065100,20-05-2022 08:45:00
21,64434,C1D8AFCAC00D,1653066000,20-05-2022 09:00:00
21,65535,C1D8AFCAC00D,1653066900,20-05-2022 09:15:00
21.13,65535,C1D8AFCAC00D,1653067800,20-05-2022 09:30:00
21.56,65535,C1D8AFCAC00D,1653068700,20-05-2022 09:45:00
21.56,65535,C1D8AFCAC00D,1653069600,20-05-2022 10:00:00
21.81,65535,C1D8AFCAC00D,1653070500,20-05-2022 10:15:00
22.31,65535,C1D8AFCAC00D,1653071400,20-05-2022 10:30:00
22.25,65535,C1D8AFCAC00D,1653072300,20-05-2022 10:45:00
22.06,65535,C1D8AFCAC00D,1653073200,20-05-2022 11:00:00
21.94,65535,C1D8AFCAC00D,1653074100,20-05-2022 11:15:00
22.63,65535,C1D8AFCAC00D,1653075000,20-05-2022 11:30:00
22.56,65535,C1D8AFCAC00D,1653075900,20-05-2022 11:45:00
22.88,65535,C1D8AFCAC00D,1653076800,20-05-2022 12:00:00
24.56,65535,C1D8AFCAC00D,1653077700,20-05-2022 12:15:00
24.75,65535,C1D8AFCAC00D,1653078600,20-05-2022 12:30:00
25.5,65535,C1D8AFCAC00D,1653079500,20-05-2022 12:45:00
26.06,65535,C1D8AFCAC00D,1653080400,20-05-2022 13:00:00
26.94,65535,C1D8AFCAC00D,1653081300,20-05-2022 13:15:00
27,65535,C1D8AFCAC00D,1653082200,20-05-2022 13:30:00
27.75,65535,C1D8AFCAC00D,1653083100,20-05-2022 13:45:00
27.88,65535,C1D8AFCAC00D,1653084000,20-05-2022 14:00:00
28.25,65535,C1D8AFCAC00D,1653084900,20-05-2022 14:15:00
28.81,65535,C1D8AFCAC00D,1653085800,20-05-2022 14:30:00
29.25,65535,C1D8AFCAC00D,1653086700,20-05-2022 14:45:00
29.63,65535,C1D8AFCAC00D,1653087600,20-05-2022 15:00:00
30.25,65535,C1D8AFCAC00D,1653088500,20-05-2022 15:15:00
30.44,65535,C1D8AFCAC00D,1653089400,20-05-2022 15:30:00
30.75,65535,C1D8AFCAC00D,1653090300,20-05-2022 15:45:00
30.75,65535,C1D8AFCAC00D,1653091200,20-05-2022 16:00:00
30.69,65535,C1D8AFCAC00D,1653092100,20-05-2022 16:15:00
30.75,65535,C1D8AFCAC00D,1653093000,20-05-2022 16:30:00
30.75,65535,C1D8AFCAC00D,1653093900,20-05-2022 16:45:00
30.81,65535,C1D8AFCAC00D,1653094800,20-05-2022 17:00:00
30.88,65535,C1D8AFCAC00D,1653095700,20-05-2022 17:15:00
30.88,65535,C1D8AFCAC00D,1653096600,20-05-2022 17:30:00
30.94,65535,C1D8AFCAC00D,1653097500,20-05-2022 17:45:00
31.69,65535,C1D8AFCAC00D,1653098400,20-05-2022 18:00:00
31.13,65535,C1D8AFCAC00D,1653099300,20-05-2022 18:15:00
30.56,65535,C1D8AFCAC00D,1653100200,20-05-2022 18:30:00
30.38,62941,C1D8AFCAC00D,1653101100,20-05-2022 18:45:00
29.75,58168,C1D8AFCAC00D,1653102000,20-05-2022 19:00:00
29.5,53275,C1D8AFCAC00D,1653102900,20-05-2022 19:15:00
28.94,48588,C1D8AFCAC00D,1653103800,20-05-2022 19:30:00
28.75,43899,C1D8AFCAC00D,1653104700,20-05-2022 19:45:00
28.06,39310,C1D8AFCAC00D,1653105600,20-05-2022 20:00:00
27.25,34744,C1D8AFCAC00D,1653106500,20-05-2022 20:15:00
26.69,30445,C1D8AFCAC00D,1653107400,20-05-2022 20:30:00
25.69,26352,C1D8AFCAC00D,1653108300,20-05-2022 20:45:00
25.06,22284,C1D8AFCAC00D,1653109200,20-05-2022 21:00:00
24.69,18195,C1D8AFCAC00D,1653110100,20-05-2022 21:15:00
23.56,14429,C1D8AFCAC00D,1653111000,20-05-2022 21:30:00
