data2,data1,loggerUid,logDateTime,dateTime
9.63,307,E246BC5B819D,1653033600,20-05-2022 00:00:00
8.5,170,E246BC5B819D,1653034500,20-05-2022 00:15:00
7.13,94,E246BC5B819D,1653035400,20-05-2022 00:30:00
6.19,54,E246BC5B819D,1653036300,20-05-2022 00:45:00
6.31,34,E246BC5B819D,1653037200,20-05-2022 01:00:00
6.44,25,E246BC5B819D,1653038100,20-05-2022 01:15:00
6.88,18,E246BC5B819D,1653039000,20-05-2022 01:30:00
6.56,17,E246BC5B819D,1653039900,20-05-2022 01:45:00
6,16,E246BC5B819D,1653040800,20-05-2022 02:00:00
5.44,18,E246BC5B819D,1653041700,20-05-2022 02:15:00
4.31,23,E246BC5B819D,1653042600,20-05-2022 02:30:00
4,31,E246BC5B819D,1653043500,20-05-2022 02:45:00
3.88,47,E246BC5B819D,1653044400,20-05-2022 03:00:00
3.75,80,E246BC5B819D,1653045300,20-05-2022 03:15:00
3.31,144,E246BC5B819D,1653046200,20-05-2022 03:30:00
3.19,261,E246BC5B819D,1653047100,20-05-2022 03:45:00
3.31,481,E246BC5B819D,1653048000,20-05-2022 04:00:00
2.94,840,E246BC5B819D,1653048900,20-05-2022 04:15:00
3.13,1393,E246BC5B819D,1653049800,20-05-2022 04:30:00
3.13,2147,E246BC5B819D,1653050700,20-05-2022 04:45:00
3.31,3085,E246BC5B819D,1653051600,20-05-2022 05:00:00
2.94,4144,E246BC5B819D,1653052500,20-05-2022 05:15:00
3.25,5271,E246BC5B819D,1653053400,20-05-2022 05:30:00
4.69,7998,E246BC5B819D,1653054300,20-05-2022 05:45:00
3.94,7452,E246BC5B819D,1653055200,20-05-2022 06:00:00
4.06,8438,E246BC5B819D,1653056100,20-05-2022 06:15:00
4.81,9403,E246BC5B819D,1653057000,20-05-2022 06:30:00
5.88,11005,E246BC5B819D,1653057900,20-05-2022 06:45:00
11.81,29990,E246BC5B819D,1653058800,20-05-2022 07:00:00
14.63,35225,E246BC5B819D,1653059700,20-05-2022 07:15:00
