data2,data1,loggerUid,logDateTime,dateTime
10,286,F538FD770D95,1653033600,20-05-2022 00:00:00
8.81,158,F538FD770D95,1653034500,20-05-2022 00:15:00
7.44,88,F538FD770D95,1653035400,20-05-2022 00:30:00
6.44,51,F538FD770D95,1653036300,20-05-2022 00:45:00
6.38,32,F538FD770D95,1653037200,20-05-2022 01:00:00
6.63,23,F538FD770D95,1653038100,20-05-2022 01:15:00
7.19,17,F538FD770D95,1653039000,20-05-2022 01:30:00
6.88,16,F538FD770D95,1653039900,20-05-2022 01:45:00
6.25,15,F538FD770D95,1653040800,20-05-2022 02:00:00
5.69,17,F538FD770D95,1653041700,20-05-2022 02:15:00
4.63,21,F538FD770D95,1653042600,20-05-2022 02:30:00
4.44,29,F538FD770D95,1653043500,20-05-2022 02:45:00
4.25,44,F538FD770D95,1653044400,20-05-2022 03:00:00
4.13,74,F538FD770D95,1653045300,20-05-2022 03:15:00
3.63,133,F538FD770D95,1653046200,20-05-2022 03:30:00
3.56,241,F538FD770D95,1653047100,20-05-2022 03:45:00
3.69,444,F538FD770D95,1653048000,20-05-2022 04:00:00
3.31,773,F538FD770D95,1653048900,20-05-2022 04:15:00
3.5,1285,F538FD770D95,1653049800,20-05-2022 04:30:00
3.5,1980,F538FD770D95,1653050700,20-05-2022 04:45:00
3.63,2846,F538FD770D95,1653051600,20-05-2022 05:00:00
3.31,3825,F538FD770D95,1653052500,20-05-2022 05:15:00
3.63,4872,F538FD770D95,1653053400,20-05-2022 05:30:00
6.13,8094,F538FD770D95,1653054300,20-05-2022 05:45:00
4.31,6863,F538FD770D95,1653055200,20-05-2022 06:00:00
4.44,7752,F538FD770D95,1653056100,20-05-2022 06:15:00
5,8617,F538FD770D95,1653057000,20-05-2022 06:30:00
6,9725,F538FD770D95,1653057900,20-05-2022 06:45:00
12.69,27521,F538FD770D95,1653058800,20-05-2022 07:00:00
15.94,32282,F538FD770D95,1653059700,20-05-2022 07:15:00
16.56,36822,F538FD770D95,1653060600,20-05-2022 07:30:00
16.69,41277,F538FD770D95,1653061500,20-05-2022 07:45:00
17.5,45887,F538FD770D95,1653062400,20-05-2022 08:00:00
18.06,50508,F538FD770D95,1653063300,20-05-2022 08:15:00
18.44,54996,F538FD770D95,1653064200,20-05-2022 08:30:00
19.94,59619,F538FD770D95,1653065100,20-05-2022 08:45:00
20.44,64180,F538FD770D95,1653066000,20-05-2022 09:00:00
20.75,65535,F538FD770D95,1653066900,20-05-2022 09:15:00
21.56,65535,F538FD770D95,1653067800,20-05-2022 09:30:00
22.13,65535,F538FD770D95,1653068700,20-05-2022 09:45:00
22.38,65535,F538FD770D95,1653069600,20-05-2022 10:00:00
23,65535,F538FD770D95,1653070500,20-05-2022 10:15:00
23.88,65535,F538FD770D95,1653071400,20-05-2022 10:30:00
24.19,65535,F538FD770D95,1653072300,20-05-2022 10:45:00
24.63,65535,F538FD770D95,1653073200,20-05-2022 11:00:00
24.81,65535,F538FD770D95,1653074100,20-05-2022 11:15:00
26.19,65535,F538FD770D95,1653075000,20-05-2022 11:30:00
25.56,65535,F538FD770D95,1653075900,20-05-2022 11:45:00
26.13,65535,F538FD770D95,1653076800,20-05-2022 12:00:00
27.19,65535,F538FD770D95,1653077700,20-05-2022 12:15:00
26.63,65535,F538FD770D95,1653078600,20-05-2022 12:30:00
26.88,65535,F538FD770D95,1653079500,20-05-2022 12:45:00
27.44,65535,F538FD770D95,1653080400,20-05-2022 13:00:00
27.88,65535,F538FD770D95,1653081300,20-05-2022 13:15:00
27.63,65535,F538FD770D95,1653082200,20-05-2022 13:30:00
28.25,65535,F538FD770D95,1653083100,20-05-2022 13:45:00
27.94,65535,F538FD770D95,1653084000,20-05-2022 14:00:00
28.13,65535,F538FD770D95,1653084900,20-05-2022 14:15:00
28.5,65535,F538FD770D95,1653085800,20-05-2022 14:30:00
28.88,65535,F538FD770D95,1653086700,20-05-2022 14:45:00
29.25,65535,F538FD770D95,1653087600,20-05-2022 15:00:00
29.75,65535,F538FD770D95,1653088500,20-05-2022 15:15:00
29.88,65535,F538FD770D95,1653089400,20-05-2022 15:30:00
30.06,65535,F538FD770D95,1653090300,20-05-2022 15:45:00
30.06,65535,F538FD770D95,1653091200,20-05-2022 16:00:00
29.75,65535,F538FD770D95,1653092100,20-05-2022 16:15:00
29.63,65535,F538FD770D95,1653093000,20-05-2022 16:30:00
29.56,65535,F538FD770D95,1653093900,20-05-2022 16:45:00
29.44,65535,F538FD770D95,1653094800,20-05-2022 17:00:00
29.38,65535,F538FD770D95,1653095700,20-05-2022 17:15:00
29.44,65535,F538FD770D95,1653096600,20-05-2022 17:30:00
29.44,65535,F538FD770D95,1653097500,20-05-2022 17:45:00
30.06,65535,F538FD770D95,1653098400,20-05-2022 18:00:00
29.44,65535,F538FD770D95,1653099300,20-05-2022 18:15:00
28.69,65535,F538FD770D95,1653100200,20-05-2022 18:30:00
28.69,65097,F538FD770D95,1653101100,20-05-2022 18:45:00
28.06,60685,F538FD770D95,1653102000,20-05-2022 19:00:00
27.63,56089,F538FD770D95,1653102900,20-05-2022 19:15:00
27.13,51649,F538FD770D95,1653103800,20-05-2022 19:30:00
26.94,47169,F538FD770D95,1653104700,20-05-2022 19:45:00
26.19,42696,F538FD770D95,1653105600,20-05-2022 20:00:00
25.38,38174,F538FD770D95,1653106500,20-05-2022 20:15:00
24.81,33863,F538FD770D95,1653107400,20-05-2022 20:30:00
23.94,29691,F538FD770D95,1653108300,20-05-2022 20:45:00
23.25,25505,F538FD770D95,1653109200,20-05-2022 21:00:00
22.63,21483,F538FD770D95,1653110100,20-05-2022 21:15:00
21.5,17215,F538FD770D95,1653111000,20-05-2022 21:30:00
20,12902,F538FD770D95,1653111900,20-05-2022 21:45:00
17.5,8470,F538FD770D95,1653112800,20-05-2022 22:00:00
15.25,5371,F538FD770D95,1653113700,20-05-2022 22:15:00
14.31,4358,F538FD770D95,1653114600,20-05-2022 22:30:00
14,3345,F538FD770D95,1653115500,20-05-2022 22:45:00
13.94,2464,F538FD770D95,1653116400,20-05-2022 23:00:00
13.56,1701,F538FD770D95,1653117300,20-05-2022 23:15:00
13.69,1087,F538FD770D95,1653118200,20-05-2022 23:30:00
13.06,651,F538FD770D95,1653119100,20-05-2022 23:45:00
12.38,372,F538FD770D95,1653120000,21-05-2022 00:00:00
11.44,207,F538FD770D95,1653120900,21-05-2022 00:15:00
11.13,116,F538FD770D95,1653121800,21-05-2022 00:30:00
10.81,69,F538FD770D95,1653122700,21-05-2022 00:45:00
10.81,42,F538FD770D95,1653123600,21-05-2022 01:00:00
10.44,29,F538FD770D95,1653124500,21-05-2022 01:15:00
