"date","GPP","GPP.lower","GPP.upper","ER","ER.lower","ER.upper","msgs.fit","warnings","errors"
2019-04-29,NA,NA,NA,NA,NA,NA,"w     E","",""
2019-04-30,0.437579825735268,0.0541489158157077,0.973999704674182,-1.78277930919381,-2.79811427203197,-0.688987877122457,"w      ","",""
2019-05-01,0.18293459195656,0.0106377787618835,0.563174349847926,-1.53983353650912,-2.47028038706561,-0.586267794367834,"w      ","",""
2019-05-02,0.836636275709158,0.392787483160021,1.36842898923134,-2.10833708788679,-3.11203121683807,-1.26647746730475,"w      ","",""
2019-05-03,0.362722697360977,0.0429992209923553,0.861348986812637,-1.82702777232696,-2.98402203830629,-0.782335866764323,"w      ","",""
2019-05-04,0.172392107178396,0.0127522550807521,0.564797914194938,-2.17415825786751,-3.3239468731496,-0.988414637753943,"w      ","",""
2019-05-05,0.459147847433162,0.0843911580523918,1.0833264355268,-1.9120768156717,-2.97995335979789,-1.05016131536266,"w      ","",""
2019-05-06,0.313386543895667,0.0280277076768082,0.908025858836261,-1.58165731177842,-2.6797016529313,-0.675277421152408,"w      ","",""
2019-05-07,1.05686277383408,0.493295601365725,1.53626363174845,-1.87279554347102,-2.65293450854489,-1.21379626039731,"w      ","",""
2019-05-08,0.997885949886,0.392601134242218,1.57184217372253,-1.41253302947339,-2.30805836295605,-0.484261280558569,"w      ","",""
2019-05-09,NA,NA,NA,NA,NA,NA,"w     E","",""
2019-05-10,0.992402333616575,0.332456959865272,1.70612553317853,-4.47591310715188,-6.27285209849822,-2.56708406511972,"w      ","",""
2019-05-11,1.13573717668232,0.652122261598895,1.82827604076257,-3.36256873749402,-4.79778568819535,-2.39051084011034,"w      ","",""
2019-05-12,1.41234731749689,0.780325935004563,2.08793331137674,-3.62653578736534,-4.96021729168734,-2.3892606724551,"w      ","",""
2019-05-13,1.79579760036612,1.2019404608656,2.41765956541943,-3.21333640173176,-4.21744833530289,-2.25286690645234,"w      ","",""
2019-05-14,2.37714763549935,1.56668658446474,3.20255556593842,-3.3930847056719,-4.47485576115302,-2.325623907953,"w      ","",""
2019-05-15,2.14833226425156,1.41648172963907,2.68488119940485,-3.21520618033316,-3.98951782960729,-2.16240074071014,"w      ","",""
2019-05-16,2.16018719432025,1.57077929707723,2.80434416807702,-2.70620398845341,-3.59256776576789,-1.95277626439785,"w      ","",""
2019-05-17,2.44093668600319,1.87400151259114,3.08805486610159,-2.54257136642067,-3.33598168021527,-1.74551933835837,"w      ","",""
2019-05-18,2.54706235282273,2.10161518722354,3.17205479226961,-3.26765030527961,-4.22105638719655,-2.44943917041261,"w      ","",""
2019-05-19,3.06726683267611,2.4302992543067,3.74194959932078,-4.81427364212968,-5.8623825303538,-3.86566661984015,"w      ","",""
2019-05-20,3.07260079725614,2.12862891003482,3.81774258734662,-4.18147370995239,-5.22153557281834,-2.99364162087476,"w      ","",""
2019-05-21,4.36909004407562,3.38028589820337,5.24785470024832,-4.74113184875307,-5.86341271063224,-3.53230528926025,"w      ","",""
2019-05-22,NA,NA,NA,NA,NA,NA,"w     E","",""
2019-05-23,5.87036564650349,4.83108532465003,6.81939224230077,-4.32827903924961,-5.28320739122713,-3.3503316906193,"w      ","",""
2019-05-24,3.28008751746149,2.66065055210866,4.08022024963267,-2.24864197914576,-3.10501934291388,-1.30449818586282,"w      ","",""
2019-05-25,4.71390279895878,3.96384331749892,5.48542681141434,-3.14786512380995,-3.92969523070668,-2.4466750917522,"w      ","",""
2019-05-26,4.87129344566708,4.17482105634566,5.47026036598662,-2.5673620777275,-3.14087705906447,-1.76962146864075,"w      ","",""
2019-05-27,4.63157324456025,3.74545129696245,5.4603133080557,-1.70227243483638,-2.40063321062093,-1.01325141431422,"w      ","",""
2019-05-28,5.85866218232249,4.68403673796166,6.81793052942365,-1.95573125541933,-2.71717693286647,-1.07844502347987,"w      ","",""
2019-05-29,5.22862006757353,4.5821475884188,5.91373225349453,-2.4693721258218,-3.25595263137098,-1.7323257903172,"w      ","",""
2019-05-30,6.79980465043417,5.82004009891218,7.81026428679876,-2.49750203256085,-3.27731454862254,-1.72817335259717,"w      ","",""
2019-05-31,NA,NA,NA,NA,NA,NA,"w     E","",""
