"","X.x","datetimeAK","X.y","min","fDOM.QSU.mn","fDOM.QSU.SD","ODO.Psat.mn","ODO.Psat.SD","ODO.Ploc.mn","ODO.Ploc.SD","ODO.mgL.mn","ODO.mgL.SD","SpCond.uScm.mn","SpCond.uScm.SD","Turbidity.FNU.mn","Turbidity.FNU.SD","Temp.C.mn","Temp.C.SD","pH.mn","pH.SD","Battery.V.mn","Battery.V.SD","CablePwr.V.mn","CablePwr.V.SD"
"1",1,"2021-05-18 12:00:00",1,"2021-05-18 12:00:00",97.893,0.00674948557710898,94.09,0.031622776601682,95.6,0,11.89,0,129.34,0.0516397779494293,4.534,0.0826236447190917,5.3781,0.000316227766016663,7.39,0,5.885,0.00527046276694719,0,0
"2",2,"2021-05-18 12:15:00",2,"2021-05-18 12:15:00",97.6418181818182,0.0991784434056292,94.0272727272727,0.0467099366496887,95.6,0,11.8881818181818,0.00404519917477937,129.227272727273,0.0646669790682954,5.13,0.139857069896377,5.39127272727273,0.00046709936649707,7.39,0,5.88181818181818,0.00404519917477937,0,0
"3",3,"2021-05-18 12:30:00",3,"2021-05-18 12:30:00",97.5454545454545,0.0294494945164199,94.2545454545455,0.0522232967867064,95.8,0,11.88,0,129.136363636364,0.0504524979109484,4.18454545454545,0.125089059182939,5.49654545454545,0.000522232967866804,NA,0.00522232967867082,5.87727272727273,0.00467099366496904,0,0
"4",4,"2021-05-18 12:45:00",4,"2021-05-18 12:45:00",97.4363636363636,0.0486359388256722,94.4636363636364,0.0504524979109484,96.0272727272727,0.0467099366496887,11.8845454545455,0.00522232967867082,129.081818181818,0.0404519917477922,3.86363636363636,0.0915721275577593,5.56745454545455,0.000522232967866804,7.39,0,5.87727272727273,0.01009049958219,0,0
"5",5,"2021-05-18 13:00:00",5,"2021-05-18 13:00:00",97.2036363636364,0.0502539007983914,94.4909090909091,0.0301511344577746,96.0545454545454,0.0522232967867064,11.8754545454545,0.00522232967867175,128.918181818182,0.0603022689155493,4.17272727272727,0.0460631976942351,5.60927272727273,0.00046709936649707,7.4,0,5.87909090909091,0.00301511344577757,0,0
"6",6,"2021-05-18 13:15:00",6,"2021-05-18 13:15:00",96.76,0.0409878030638375,94.6,0,96.1727272727273,0.0467099366496954,11.8672727272727,0.00467099366496904,128.772727272727,0.046709936649702,4.61818181818182,0.078079213855953,5.68172727272727,0.000786245393106872,7.4,0,5.88545454545454,0.00522232967867082,0,0
"7",7,"2021-05-18 13:30:00",7,"2021-05-18 13:30:00",96.7836363636364,0.0593755382750729,94.7272727272727,0.0467099366496887,96.3,0,11.8672727272727,0.00467099366496904,128.663636363636,0.0504524979109484,4.73272727272727,0.231995297757989,5.73518181818182,0.00132801971507823,7.4,0,5.88181818181818,0.00404519917477937,0,0
"8",8,"2021-05-18 13:45:00",8,"2021-05-18 13:45:00",96.7654545454545,0.0463386742071094,94.8181818181818,0.040451991747798,96.4,0,11.8618181818182,0.00404519917477937,128.654545454545,0.0522232967867064,3.81727272727273,0.170299201941225,5.79327272727273,0.000467099366496655,NA,0.00404519917477937,5.87727272727273,0.00467099366496904,0,0
"9",9,"2021-05-18 14:00:00",9,"2021-05-18 14:00:00",96.5663636363636,0.083339393719025,94.8,0,96.4,0,11.8545454545455,0.00522232967867082,128.481818181818,0.0404519917477922,5.35545454545455,0.256724117930655,5.805,0,NA,0.00467099366496904,5.88363636363636,0.00504524979109502,0,0
"10",10,"2021-05-18 14:15:00",10,"2021-05-18 14:15:00",96.2909090909091,0.0617178329908874,95.0090909090909,0.0301511344577746,96.6,0,11.85,0,128.263636363636,0.0504524979109628,4.49090909090909,0.123325143053195,5.91790909090909,0.000831209414593561,7.41,0,5.87909090909091,0.00301511344577757,0,0
